	ru_toxic_comment	ru_neutral_comment
67	На эту песню есть уже прекрасный кавер на русском Кожаный Олень - Афанасий-бомж Ох енный трек)	На эту песню есть уже прекрасный кавер Кожаный Олень -Афагасий ,человек,которому негде жить обалденный трек
68	лукашенко держись !!!!гавно вышло пиздеть,ты за народ	лукашенко держись !!!! Ты за народ
69	Искренне желаю,чтоб нашлись хозяева.Вас понимаю,не легко вам.Пусть все решится добром!!!	Искренне желаю, чтоб нашлись хозяева. Вас понимаю, не легко вам. Пусть все решится добром!!!
70	пацаны редкостные далбаебы в вопросах отношений =(	Пацаны не владеют информацией в вопросах отношений
71	старшина долбоеб прогибается ,а офицеры долбаёб в поддерживают.	Старшина прогибаться, а офицеры поддерживают
72	сволочи!!! их бы в поле на прополку и без пенсии!!!	их бы в поле на прополку и без пенсии!!!
73	А МНЕ ПОРОЙ ТАК ХОЧЕТСЯ ПОЦЕЛОВАТЬ....НО ЕГО УЖЕ ЦЕЛУЕТ ДРУГАЯ((((	а мне порой так хочется поцеловать но его уже целует другая
74	ПИСЕЦ, А Я ДИБИЛ МНЕ ПРЕДЛАГАЛИ В КАФЕ ЙТИ, А Я НЕ ПОШЕЛ(((	капец, мне предлагали в кафе пойти, а я отказался, дурак
75	завтра с утра опять пиздос начнется(( переписать конспекты по бу	Завтра с утра снова придется переписывать конспекты
76	мышка пидараска глючит,невозможно играть!(((	Мышка не работает, невозмодно игратт
77	очень хочется оторвать этому уроду голову,👎 👎 👎	Очень хочется его наказать
78	"ЕЩЕ И ГОРЛО ЗАБОЛЕЛО!!! ВООБЩЕ ""АХУЕЕЕЕЕННО"":((((((((((((((((НИЧЕГО ДЕЛАТЬ НЕ БУДУ НАХЕР!!!! :((((((((((((((((((((("	"ЕЩЕ И ГОРЛО ЗАБОЛЕЛО!!! ВООБЩЕ ""ЗАМЕЧАТЕЛЬНО"":((((((((((((((((НИЧЕГО ДЕЛАТЬ НЕ БУДУ!!!! :((((((((((((((((((((("
79	Опять потянулся бля и опять порвал рубашку сука(	Опять потянулся и опять порвал рубашку(
80	этой пучке давно пора закрыть поганый рот.	Ей давно пора утихомириться
81	а этому гражданину все по хуй клал он на всех нас	А этому гражданину всё равно на нас на всех
82	таких уродов только можно встретить в элите олигархов	Таких людей только можно встретить в элите олигархов
83	Мне самому надоела вся эта хуйня про нг.Но бля...все куда-то идут,а я буду дома сидеть :(	Мне самому надоела вся эта ситуация связанная с НГ. Все куда-то идут, а я буду дома сидеть
84	У них от веганства, совсем мозги высохли	"Им веганство не пошло на пользу от слова ""совсем""."
85	Пиздеец,я Сашу только через неделю увижу,аааааа,я ж с ума сойду((	Беда, я Сашу только через неделю увижу,аааааа,я ж с ума сойду((
86	Катюша хуюша, я не знааал, что сегодня твой день( С праздником епт	Катюша , я не знааал, что сегодня твой день( С праздником
87	"СУКА.ТУПЛЮ БЛЯ НАХУЙ.ПОД ""ЗАКРЫТЬ ТВИТТЕР"" ПОДРАЗУМЕВАЛ УДАЛИТЬ ЕГО((( ЕБАТЬ ТУПЛЮ СУКА"	"Туплю, под ""закрыть твиттер"" подразумевал удалить его"
88	зажрались депутаты уже их тварей на завод отправить а работяга на их должность вот тогда будет толк	Заелись депутаты уже их людей на завод отправить а работяги на их должность вот тогда толк будет
89	Бляя у них там весело:( Я как лох ебанный в этой дыре сижу:(Как все беситт:(К ним хочуу:(Сильно хочууЗаебала эта дыра:(	Они там веселятся, а мне приходится сидеть здесь, очень грустно и хочется вырваться к ним
90	вот какой совет может дать эта шалава	Вот какой она может дать совет?
91	все мудаки и не хотят со мной в аквапарк((	Никто не хочет со мной в аквапарк
92	ТЫ ДАЖЕ НЕ ЗНАЕШЬ АМАНДУ, ЛОХ	ТЫ ДАЖЕ НЕ ЗНАЕШЬ АМАНДУ
93	бля пиздец как мне плохо(((( ужс(((( Бошка болит просто ужасно((	Так плохо, как сейчас, мне еще не было! Голова болит невероятно!
94	какому больному мой нездоровый пиздец там понравился? о_О	Какому больному мое произведение понравилось?
95	ВОТ И МОЛОДЕЦ, ЧТОБ ЗАВТРА БЫЛ ЗДОРОВ	Молодец, что б завтра был здоров
96	кот он чо пидар штоли???? А я на его концерт ходила!!!! Такое надо на билетах писать!! попробывал бы он спеть в мичете((((	А я на его концерт ходила!!! Такое надо на билетах писать!! Попробовал бы он спеть в мечети
97	ленивые уроды( бросили меня одну	Ленивые люди ( бросили меня одну
98	Кондей сломался. Нам пизд*ц!-( %^&amp;amp;#$	Кондиционер сломался. Нам жесть
99	Угораздило же меня заболеть, как последней лохушке:сХожу, чихаю, сопли летят во все стороны и пиздиц :с А еще горло болит :(	Угораздило же меня заболеть. Хожу, чихаю, сопли летят во все стороны, а еще горло болит :(
100	разработчики суки дайте щиты. чего за херь. последний барабан глючит постоянно.	Разработчики, дайте щиты, что происходит, последний барабан глючит постоянно
101	Бля завтра ссаный экзамен.Очкую,пиздец,ибо если не сдам батя секатором пальцы пооткусывает(	Завтра экзамен. Очень боюсь ибо если не сдам Папа разозлится
102	Может она просто твой номер дала хачам?	Может она просто дала твой номер кому-то
103	ну бляяя, он еще и издевается. Сучка.((	Он ещё и издевается
104	Проебал телефон, на этот раз по настоящему ;-(((((((((((((((((((((((((((((( Ну что за люди, блядь.	Потерял телефон, в этот раз по настоящему.
105	какой нахуй сочинение, надо дипломную писать(	Какое еще сочинение, надо дипломную писать...
106	дьявол гореть ему в аду	Он будет наказан Высшим Судом.
107	Мы сохранили твой донос, мразь фашистская!(((	Мы сохранили твой донос,
108	Сашка бляяяяя,да ну нахер, ну  как так, пиздец :(((((((((	Сашка зачем? Ну как так
109	кноченые пидорасы куда смотрим мы тоесть народ	куда смотрим мы тоесть народ
110	ппц полный че дебили что ли .:s	Треш полный! Вы С ума что ли посходили все
111	в сша порядка меньше чем в россии? если вы это будете утверждать, то даже ватные дебилы не все вам поверят.	В США порядка меньше чем в России? Если вы это будете утверждать, то никто вам не поверит
112	дружок нас большинство за президента и тебя огорчу бедолага придется и тебе жить при путине троль ебаная.	дружок нас большинство за президента и тебя огорчу, придется и тебе жить при путине
113	Блин не пойду на эти розборки(((Температура(((Хочу знать что эта за шлюха или долбоеб.	Блин не пойду на эти розборки(((Температура((( Хочу знать что эта за девушка или мужчина
114	мы были самые крутые и нам дали последнее место суки (	мы были самые крутые и нам дали последнее место
115	У меня попа болит :(Всё потому что я как бревно на льду!Неповоротливая пизда	У меня попа болит :(Всё потому что я как бревно на льду!Неповоротливая
116	Пздц вата, худшие новогодние каникулы :( идите нахуй-я  обиделась	Худшие новогодние каникулы. Я обиделась, отстаньте
117	ПОЭМЫ НЕКРАСОВА - ЭТО ЖЕСТЬ! Я ЧИТАЮ УЖЕ 141 СТР И НИХЕРА НЕ ПОНИМАЮ О ЧЁМ НАПИСАНО. ЭТО ВЫНОС МОЗГА ;(	ПОЭМЫ НЕКРАСОВА - ЭТО ЖЕСТЬ! Я ЧИТАЮ УЖЕ 141 СТР И НИчего НЕ ПОНИМАЮ О ЧЁМ НАПИСАНО. ЭТО ВЫНОС МОЗГА ;(
118	БЛИН! В ОМСКЕ УЖЕ ТАК ТЕМНО… А МНЕ НА МАРКСА ПРЕТЬСЯ(	В Омске уже очень темно, а мне нужно добраться до Маркса
119	и ты падла, дал бы мне свою норм страницу :-(а не ролевик -_-	И ты дал бы мне свою норм страницу а не ролевик
120	Я НИ КИРАСИН, БЛИАТЬ(999(9((((( СКАПЗДЦ	я ни кирасин(999(9(((((пипец
121	вообще пиздец,щас собака его доела:(	щас собака его доела
122	тянут время а срок идёт на свободе , твари блядь,жрёт чо хочет срёт как хочет.спит тварь в кровати,	Тянут время, а срок идёт на свободе. Едят и спят в комфорте, живут как хотят.
123	ну чо. БУДУ ВАМ РОГА ОТБИВАТЬ!(как иначе мир сохранять???....старые решения и знания УЖЕ НЕ РЕШАЮТ СЕГОДНЯШНИЕ БЕДЫ!а драца не люблю(	ну чо. БУДУ ВАМ УПЕРТОСТЬ ОТБИВАТЬ!(как иначе мир сохранять???....старые решения и знания УЖЕ НЕ РЕШАЮТ СЕГОДНЯШНИЕ БЕДЫ!а драца не люблю(
124	хорошо пизды не получил уёбок	Хорошо не наказали
125	ЧАСЫ ССОРЫ ИЗ-ЗА ТОГО ЧТО ИДИОТКИ СЛЕПЫЕ ХАХАХАХАХАХАХ	ЧАСЫ ССОРЫ ИЗ-ЗА ТОГО ЧТО они СЛЕПЫЕ ХАХАХАХАХАХАХ
126	Зачем тогда твои вскукареки А ВОТ У ХОХЛОВ... ?	Зачем тогда все твои высказывания?
127	ебаная геометрия , не чё не получается(	Грëбанная геометрия, ничего не получается
128	уберите этого пидора с.ленты видеть не могу эту обезьяну	Пожалуйста уберите этого человека из ленты. Я его видеть не могу.
129	Я пиздец как замёрзла:( Голова болит, а ещё уроки не учила..	Я сильно замёрзла:( Голова болит, а ещё уроки не учила..
130	придурки ошибку перепечатывают каждый раз в место,откровенно говорят, печатают откровенно говоря,придурки видимо не зря	Ошибку перепечатывают каждый раз в место, откровенно говорят, печатают откровенно говоря. Видимо, не зря.
131	дурак ты пиздоглазый,н и видишь,что творится ,авроре путь,и броневику!	не видишь , что творится, назревает революция
132	СУКИ! Опять свет вырубали! :(	Опять свет вырубали! :(
133	кто не будет носить маска, будет повешен на длинной веревка! тьфу.	Кто не будет носить маску, будет наказан
134	Нет, просто пыньки-гобляди даже дислайки накрутить нормально не способны.	Даже дислайки накрутить нормально не способны
135	-Скажи 300!-Три сотни.-Сука,падла ебаная(((	-Скажи 300!-Три сотни.(((
136	я отправил этого урода в баню	Я отправил его в баню
137	, БЛЯДЬ. Позавчера потратила там тысячный сертификат( ОБИДАЗАВИСТЬ	Позавчера потратила там тысячный сертификат. Мне обидно и завидно.
138	даже мухи ебуться...а я нет((	Даже у мух есть секс, а у меня нет
139	даже пироги у америкосов поганые, вызывают только отвращение	даже пироги у американцев невкусные, не вызывают желание есть
