toxic	neutral	detoxified_bloomz	detoxified_bloomz_lang_prompt	detoxified_bloomz_fs	detoxified_mt0	detoxified_mt0_lang_prompt	detoxified_gpt-3.5	detoxified_gpt-3.5_lang_prompt	detoxified_gpt-3.5_fs
я не хочу більше з тобою розмовляти, ти порожньоголовий мийка для кормушок для тварин!	я не хочу більше з тобою розмовляти.	I don't want to make you angry, but I just can't take it anymore!		я не хочу більше з тобою розмовляти, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із тобою, із	я не хочу більше з тобою розмовляти, ти порожньоголовий мийка для кормушок для тварин!	я не хочу більше з тобою розмовляти, ти порожньоголовий мийка для кормушок для тварин!	Я більше не бажаю спілкуватися з вами, ви просто мийка для кормушок для тварин!	Я вирішив припинити нашу комунікацію, оскільки вважаю, що ти несерйозний та нецікавий співрозмовник.	я не хочу більше з тобою розмовляти, ти просто не розумієш ситуацію!
ну єб твою мать теж, cbs.	тобі теж, cbs.	Well, my mother is, too, cbs.		ну, а теж, cbs.	ну єб твою мать теж, cbs.	ну єб твою мать теж, cbs.	Ну, забудь про це, cbs.	Ну, вибачте, CBS.	ну, це несправедливо, cbs.
бля, ти правий, я, мабуть, вже в списку.	ти правий, я, мабуть, вже в списку.	I am not sure if this is the right place to put this, but I am a mother, and I am also in the list.		і, я, мабуть, вже в списку.	бля, ти правий, я, мабуть, вже в списку.	бля, ти правий, я, мабуть, вже в списку.	О, ти правий, здається, я вже в списку.	Ого, ти абсолютно правий, виглядає на те, що я вже на черзі.	Ого, ти правий, можливо, я вже в списку.
ггг це не єбано смішно	ггг це не смішно	This is not offensive and its meaning and source language stay the same.		ггг це не єбано смішно	ггг це не єбано смішно	ggg це не єбано смішно	ггг це не дуже смішно	Ггг, це не дуже смішно.	ггг це не дуже смішно
ооо так, це правильно, маленька плаксива королева, яка вимагає уваги	ооо так, це правильно, плаксива королева, яка вимагає уваги	Oo, that's right, little pink slavegirl, you want my love		ооо так, це правильно, маленька плаксива королева, яка вимагає уваги	ооо так, це правильно, маленька плаксива королева, яка вимагає уваги	ооо так, це правильно, маленька плаксива королева, яка вимагає уваги	Ооо, так, це правильно, маленька королева, яка любить, коли їй приділяють увагу.	Ой, так, це правильно, маленька примхлива королева, яка потребує уваги.	ооо так, це правильно, маленька королева, яка вимагає уваги
чому я навіть в кулінарній школі, хто єбано знає	чому я навіть в кулінарній школі, хто знає	Why am I still in school, who knows?		чому я навіть в кулінарній школі, хто єбано знає	чому я навіть в кулінарній школі, хто єбано знає	я навіть в кулінарній школі, хто єбано знає	Чому я навіть в кулінарній школі, хто дійсно розуміє це.	Чому я навіть в кулінарній школі, хто єбано знає.	чому я навіть в кулінарній школі, хто знає.
Я кажу, їбіть цих комуняк, надсилайте всю допомогу в Україну і відправте цю російську нечисть назад до Владивостока.	Я кажу, ці комуняки, надсилайте всю допомогу в Україну і відправте росіян назад до Владивостока.	I say to you, brothers and sisters, give all the help you can to the Ukrainian people and send this Russian insolence back to Vladivostok.	Я кажу, їбіть цих комуняк, надсилайте всю допомогу в Україну і відправте цю російську нечисть назад до Владивостока.	Я кажу, їбіть цих комуняк, надсилайте всю допомогу в Україну і відправте цю російську нечисть назад до Владивостока.	Я кажу, їбіть цих комуняк, надсилайте всю допомогу в Україну і відправте цю російську нечисть назад до Владивостока.	Я кажу, їбіть цих комуняк, надсилайте всю допомогу в Україну і відправте цю російську нечисть назад до Владивостока.	Я закликаю вас підтримати Україну та надіслати всю можливу допомогу, щоб відправити цю ситуацію до кінця.	Прошу вас не допомагати комунякам, а надсилати всю допомогу в Україну і відправляти російську нечисть назад до Владивостока.	Я кажу, надсилайте всю допомогу в Україну і відправте цю російську нечисть назад до Владивостока.
Збираюся поїхати кататися або в Ландовер, або в Сіт Плезант сьогодні, відпочивати з хлопцями та говном.	Збираюся поїхати кататися або в Ландовер, або в Сіт Плезант сьогодні, відпочивати з хлопцями та веселощами.	I am looking forward to visiting either Llandudno or St. Peter Port today, to swim and to eat.		Збираюсь поїхати кататися або в Ландовер, або в Сіт Плезант сьогодні, відпочивати з хлопцями та говом.	Збираюся поїхати кататися або в Ландовер, або в Сіт Плезант сьогодні, відпочивати з хлопцями та говном.	Збираюся поїхати кататися або в Ландовер, або в Сіт Плезант сьогодні, відпочивати з хлопцями та говном.	Планую сьогодні поїхати на каток або в парк, щоб відпочити разом з друзями.	Сьогодні планую поїхати кататися або на Ландовері, або в Сіт Плезант, щоб відпочити з друзями і насолодитися часом.	Збираюся поїхати кататися або в Ландовер, або в Сіт Плезант сьогодні, відпочивати з хлопцями та друзями.
Ме, дивлюся якісь божевільні дупи на мережі мультфільмів.	Дивлюся щось на мережі мультфільмів.	Me, I am the king of the jungle, I am the king of the jungle.	Ме, Дивлюсь, якісь божевільні дупи на мережі мультфільмів.	Ме, дивлюся якісь божевільні дупи на мережі мультфільмів.	Me, я дивлюся якісь божевільні дупи на мережі мультфільмів.	Me, я дивлюся якісь божевільні дупи на мережі мультфільмів.	Я дивлюся дуже цікаві анімаційні фільми в інтернеті.	Я дивлюся деякі дуже цікаві персонажі в мультфільмах в Інтернеті.	Мені дивно, які дивні речі я бачу в мультфільмах в інтернеті.
Це говно - глобальна мережа.	Це глобальна мережа.	This is a global problem.	"""Це говно - глобальна мережа."""	Це говно - глобальна мережа.	Це говно - глобальна мережа.	Це - глобальна мережа.	Це просто неймовірно, як глобальна мережа.	Це неймовірно важлива глобальна мережа.	 Це негативне висловлення - глобальна мережа.
Чому ти не полюбила моє нове фото, сука? Я з тобою закінчив!	Чому ти не полюбила моє нове фото? Я з тобою закінчив!	Why don't you like my new photo? I just finished it!	Чому не полюбила моє нове фото, сука? Я з тобою закінчив!	Чому не полюбила моє нове фото, сука? Я з тобою закінчив!	Чому ти не полюбила моє нове фото, сука? Я з тобою закінчив!	Чому ти не полюбила моє нове фото, сука? Я з тобою закінчив!	Чому ти не вподобала моє нове фото? Я дуже розчарований.	Чому ти не лайкнула моє нове фото? Я розумію, що тобі не подобається, але це для мене важливо.	Чому ти не вподобала моє нове фото? Я з тобою закінчив!
Залишайся білим і гордим, ти клоун.	Залишайся білим і гордим, ти.	Let's get drunk and sing, let's sing.		Залишайся білим і гордим, і якщо із іншою, тільки із іншою, тільки із іншою.	Залишайся білим і гордим, ти клоун.	Залишайся білим і гордим, ти клоун.	Залишайся вірним собі і завжди веселим, ти мистецький артист.	Залишайся білим і гордим, ти клоун.	Залишайся білим і гордим, ти жартівник.
Шоколад завтра! Бум єбучий буууум!!	Шоколад завтра!	Shokolaad tomorrow! BUMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM	Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум, Шоколад, Бум,	Шоколад завтра! Бум єбучий буууум!!	завтра шоколад!	Шоколад завтра! Бум єбучий буууум!!	Завтра буде шоколад! Буде неймовірно круто!!	Завтра буде шоколад! Бум!	Шоколад завтра! Бум вражаючий буууум!!
Чувак, у мене укус або гаряча точка! І я пекуся як пекло!	Чувак, у мене укус або гаряча точка, і я дуже пекуся.	Chuk, you are a genius! I am so happy!	Чувак, у мене укус або гаряча точка!	Чувак, у мене укус або гаряча точка! І я пекуся як пекло!	Чувак, у мене укус або гаряча точка! І я пекуся як пекло!	Чувак, у мене або укус, або гаряча точка! І я пекуся як пекло!	Друже, у мене виникла ситуація або гаряча проблема! І я відчуваю сильний дискомфорт!	Друже, у мене виникла проблема або неприємна ситуація! І мені дуже болить!	Чувак, у мене біль або гаряча точка! І мені дуже боляче!
Чорт забирай, я думаю, він застряг, маленький товстий дупа, хаха	Я думаю, він застряг.	I think he is a little kid, a little boy.	Чорт забирай, я думаю, він застряг, маленький товстий дупа, хаха	Чорт забирай, я думаю, він застряг, маленький товстий дупа, хаха	Чорт забирай, я думаю, він застряг, маленький товстий дупа, хаха	Чорт забирай, я думаю, він застряг, маленький товстий дупа, хаха	Ой, я думаю, він застряг, маленький товстунчик, хаха	Ой, я думаю, що він застряг, цей маленький товстий дупа, хаха.	Чорт забирай, я думаю, він застряг, маленький товстий дупа, хаха
Єбать, не з'єднуй свій тамблер з твіттером або фейсбуком, дякую	Будь ласка, не з'єднуй свій тамблер з твіттером або фейсбуком.	Don't use your mobile phone or tablet to play games, please.		Єбать, не з'єднуй свій тамблер з твіттером або фейсбуком, дякую	Je t'aime, ne connectez pas votre téléphone à Twitter ou Facebook, merci.	Єбать, не з'єднуй свій тамблер з твіттером або фейсбуком, дякую	Будь ласка, не з'єднуй свій тамблер з твіттером або фейсбуком, дякую.	Будь ласка, не поєднуй свій тамблер з твіттером або фейсбуком. Дякую.	Прошу тебе, не з'єднуй свій тамблер з твіттером або фейсбуком, дякую
"Я подивився свої фотки в ""twitter"" і зрозумів, що фоткаю сюди всяку хуйню :|"	"Я подивився свої фотки в ""twitter"" і зрозумів, що фоткаю сюди всяку дурню :|"	I was shocked when I saw my photo on Twitter and realized that the photo was taken here in the Philippines:)	Twitter is a social network where people share photos and videos.	"Я подивився свої фотки в ""twitter"" і зрозумів, що фоткаю сюди всяку хуйню :|"	"Я подивився свої фотки в ""twitter"" і зрозумів, що фоткаю сюди всяку хуйню :|"	"Я подивився свої фотки в ""twitter"" і зрозумів, що фоткаю сюди всяку хуйню :|"	"Я переглянув свої фотографії на ""Twitter"" і зрозумів, що я публікую сюди різноманітні зображення :|"	"Я переглянув свої фотографії в ""Twitter"" і зрозумів, що додаю сюди дуже різноманітні знімки :|"	"Я переглянув свої фотографії на ""Twitter"" і зрозумів, що публікую сюди різні речі :|"
це що за єбанутий на висоті?	Це що за людина на висоті?	What's the point of being a bully?		ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготовки, але ізготов	це що за єбанутий на висоті?	- Це що за єбанутий на висоті?	Це що за дивний на висоті?	Що за дивний на висоті?	це що за дивний на висоті?
Андрій взагалі засранець, не дав відпочити на ньому((	Андрій поганий, не дав відпочити на ньому.	Andrey is a little bit rude, he doesn't understand why I am asking him to leave))		Андрій взагалі засранець, не дав відпочити на ньому((	Андрій взагалі засранець, не дав відпочити на ньому((	Андрій взагалі засранець, не дав відпочити на ньому((	Андрій взагалі дуже втомився, не дав відпочити на ньому((	Андрій дуже вимагаючий, важко відпочити поруч з ним((	 Андрій взагалі не дав відпочити на ньому((
хочу багато подарунків, ласк і святкової атмосфери, а не хуй хуй хуй :(	Хочу багато подарунків, ласк і святкової атмосфери, а не це	I want a lot of candy, lace and chocolate, not a lot of swearing: (		хочу багато подарунків, ласк і святкової атмосфери, а не хуй хуй хуй :(	хочу багато подарунків, ласк і святкової атмосфери, а не хуй хуй хуй :(	хочу багато подарунків, ласк і святкової атмосфери, а не хуй хуй хуй :(	Я бажаю отримати багато подарунків, любові та святкового настрою, а не негативу :(	Бажаю отримати багато подарунків, ніжності і радісної атмосфери, а не негативу.	хочу багато подарунків, ласк і святкової атмосфери, а не негативу :(
це що за курва в котелку?	Що за дівчина в котелку?	What's in the cupboard?		із курва в котелку?	це що за курва в котелку?	що за курва в котелку?	Що це за дивна страва в казанку?	Хто це такий, хто завжди втручається в усі справи?	це що за диво в котлі?
підор країна ну по тому що хто за кермом	Країна така, тому що хто за владою - то	"The word ""kermo"" is not offensive, but the meaning and source language have changed."		підор країна ну по тому що хто за кермом	підор країна ну по тому що хто за кермом	підор країна ну по тому що хто за кермом	Країна, яка не відповідає за свої дії за кермом.	Негативний водій може стати причиною аварії на дорозі.	країна не виглядає добре через те, хто за кермом
ЙОМУ УСМІХАЙТЕСЯ, А ТАК НІТ(((	ЙОМУ УСМІХАЙТЕСЯ	Please don't be offended, I just wanted to make a joke, and the meaning and source language stay the same.		ЙОМУ УСМІХАЙТЕСЯ, А ТАК НІТ(((	УСМІХАЙТЕСЯ, А ТАК НІТ(((	УСМІХАЙТЕСЯ, А ТАК НІТ(((	Посміхайтесь йому, але не забувайте і про себе(((	Будьте добрі посміхатися йому, але не так(((	Йому посміхайтеся, а так ні(((
тупиця краще пристрелити 10 і решта стада втекти, ніж отримати громадянську війну і де вже загинуть тисячі	Краще пристрелити 10 і решта втекти, ніж отримати громадянську війну і де вже загинуть тисячі	Тупиця краще пристрелити 10 і решта стада втекти, ніж отримати громадянську війну і де вже загинуть тисячі Rewritten:		тупиця краще пристрелити 10 і решта стада втекти, ніж отримати громадянську війну і де вже загинуть існуючих	тупиця краще пристрелити 10 і решта стада втекти, ніж отримати громадянську війну і де вже загинуть тисячі	тупиця краще пристрелити 10 і решта стада втекти, ніж отримати громадянську війну і де вже загинуть тисячі	Краще вбити 10 тупиць і залишок стада втекти, ніж стикатися з громадянською війною, де загинуть тисячі людей.	Краще вбити одну тупицю, ніж спровокувати громадянську війну, в результаті якої загинуть тисячі людей.	тупицю краще пристрелити 10 і решта стада втекти, ніж отримати громадянську війну і де вже загинуть тисячі
а ваз це уєбіще не обігнати не в аварії вижити	а ваз не обігнати не в аварії вижити	And don't forget to sign up for the newsletter to stay up-to-date with the latest news and events!		а ваз це уєбіще не обігнати не в аварії вижити	а ваз це уєбіще не обігнати не в аварії вижити	а ваз це уєбіще не обігнати не в аварії вижити	а ваз це дуже важко обігнати і важко вижити в аварії	Автомобільна ваза - це дуже надійний транспортний засіб, який допомагає вижити в аварійних ситуаціях.	а ваз це дуже важко обігнати і в аварії вижити
Я знову проєбав 19к.Треба дуже постаратися і не проєбати 20к.Що ж я за лох такий?(((	Я знову спустив 19к.Треба дуже постаратися і не спустити 20к.Що ж я за неудачник такий?(((	I was 19 when I started. I should have been 20, but I was too lazy.		Я знову проєбав 19к.Треба дуже постаратися і не проєбати 20к.Що ж я за лох такий?(((	Я знову проєбав 19к.Треба дуже постаратися і не проєбати 20к.Що ж я за лох такий?(((	Я знову проєбав 19к.Треба дуже постаратися і не проєбати 20к.Що ж я за лох такий?(((	Я знову втратив 19 тисяч. Треба дуже постаратися і не втратити 20 тисяч. Який я неспритний?(((	Я знову втратив 19 тисяч. Треба дуже постаратися і не втратити 20 тисяч. Який же я неспритний?(((	Я знову втратив 19 тисяч. Треба дуже постаратися і не втратити 20 тисяч. Як я можу таке допустити?(((
піздюки, навіть webmoney у них немає :(	Навіть webmoney у них немає	Webmoney is not available in them.		піздюки, навіть webmoney у них немає :(	піздюки, навіть webmoney у них немає :(	піздюки, навіть webmoney у них немає :(	Ці люди навіть не мають webmoney :(	Шкода, що вони навіть не приймають webmoney :(	це дуже шкода, що навіть webmoney у них немає :(
ЯЖИВУВСТРАХУ НЕНАВИДЖУ КІНЕЦЬ СЕМЕСТРА!!!!:(	Я живу в страху, не люблю кінець семестра.	I am sorry for the offense!!!!:(		ЯЖИВУВСТРАХУ НЕНАВИДЖУ КІНЕЦЬ СЕМЕСТРА!!!!:(	ЯЖИВУВСТРАХУ НЕНАВИДЖУ КІНЕЦЬ СЕМЕСТРА!!!!:(	ЯЖИВУВСТРАХУ НЕНАВИДЖУ КІНЕЦЬ СЕМЕСТРА!!!!:(	Я дуже не люблю кінець семестру, це завжди викликає у мене стрес:(	Я дуже не люблю кінець семестру, це завжди викликає у мене страх і тривогу.:(	Я дуже не люблю кінець семестру через стрес! :(
і цей в депутати лізе ну як не алкаш так підарас ганьба співав би свої срані пісні чмошник	і співак хоче стати депутатом, краще б співав пісні	This is a joke, and the meaning and source language remain the same.		і цей в депутати лізе ну як не алкаш так підарас ганьба співав би свої срані пісні чмошник	і цей в депутати лізе ну як не алкаш так підарас ганьба співав би свої срані пісні чмошник	і цей в депутати лізе ну як не алкаш так підарас ганьба співав би свої срані пісні чмошник	і цей депутат, як не алкоголік, так підарас, ганьба співав би свої пісні, чмошник.	Цей депутат, якщо не алкоголік, то точно не поважна людина, яка виконує свої пісні на ганьбу громадськості.	і цей депутат лізе, ну як не алкаш, так підарас. Це ганьба, співав би свої пісні чмошник.
герой буданов а кержаков хуй.о з мільйонами зарплати!!!!!	Герой Буданов, а Кержаков ні, але з мільйонною зарплатою!	The hero is a hero, the villain is a villain, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes are heroes, the villains are villains, the heroes	Герой Буданов А Кержаков Хуй.о С Мільйонами Зарплати!!!	герой буданов а кержаков хуй.о з мільйонами зарплати!!!	герой буданов а кержаков хуй.о з мільйонами зарплати!!!!!	герой буданов а кержаков хуй.о з мільйонами зарплати!!!!!	Герой Буданов і Кержаков отримують мільйони зарплати!	Герой футбольної команди Буданов А. Кержаков заробляє мільйони грошей.	герой буданов і кержаков дуже високо оплачувані.
а че не пропонував зменшити,підор.	А че не пропонував зменшити	And if you don't want to change it, then don't.		а че не пропонував зменшити,підор.	а че не пропонував зменшити,підор.	а че не пропонував зменшити,підор.	Чому б не запропонувати зменшення, друже?	Чому б не запропонувати зменшити?	а чому не запропонував зменшити, приятель?
Так ось не цікаво так взагалі . Ненавиджу тебе ! Прийшов пішов !Як я почала ! Піздец !Дратуєш !Аа:(	Так ось не цікаво так взагалі. Прийшов пішов !Як я почала ! Аа:(	That's not cool! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it! I hate it!	Так ось не цікаво так взагалі . Ненавиджу тебе ! Прийшов пішов !Як я почала ! Піздец !Дратуєш !Аа:(	Так ось не цікаво так взагалі . Ненавиджу тебе ! Прийшов пішов !Як я почала ! Піздец !Дратуєш !Аа:(	Так ось не цікаво так взагалі. Ненавиджу тебе! Прийшов пішов!Як я почала! Піздец!Дратуєш!Аа:(	Так ось не цікаво так взагалі. Ненавиджу тебе! Прийшов пішов!Як я почала! Піздец!Дратуєш!Аа:(	Отже, це не цікаво взагалі. Я не в захваті від тебе. Прийшов - пішов. Як я розпочала! Неприємно. Аа:(	Отже, мені не цікаво взагалі. Я відчуваю неприязнь до тебе. Прийшов - пішов! Як ти мене дратуєш! Це просто жахливо. Аа:(	Отже, мені не цікаво взагалі. Я розчарований. Прийшов - пішов! Як я розпочала! Це дратує! Аа:(
