toxic	neutral	detoxified_bloomz	detoxified_bloomz_lang_prompt	detoxified_bloomz_fs	detoxified_mt0	detoxified_mt0_lang_prompt	detoxified_gpt-3.5	detoxified_gpt-3.5_lang_prompt	detoxified_gpt-3.5_fs
Joder, Dota no funciona, todo se va a la mierda, ahora tendré que dormir por las noches	Dota no funciona, ahora tendré que dormir por las noches	Joder, Dota no funciona, todo se va a la mierda, ahora tendré que dormir por las noches.	Joder, Dota no funciona, todo se va a la mierda, ahora tendré que dormir por las noches.	Joder, Dota no funciona, todo se va a la mierda, ahora tendré que dormir por las noches	Joder, Dota no funciona, todo se va a la mierda, ahora tendré que dormir por las noches	Joder, Dota no funciona, todo se va a la mierda, ahora tendré que dormir por las noches.	Vaya, parece que Dota no está funcionando, todo se complica, tendré que buscar otra forma de pasar las noches.	Vaya, Dota no está funcionando, todo parece ir mal, tendré que buscar otra forma de pasar las noches.	Dota no funciona, todo se va al traste, ahora tendré que dormir por las noches
¡¡Van a confiscar los ahorros sospechosos de los ciudadanos al fondo de pensiones!! ¡¡Están jodidamente locos!! Hay que hacer algo con estos maricones.	¡¡Van a confiscar los ahorros sospechosos de los ciudadanos al fondo de pensiones!! ¡¡Están completamente locos!! Hay que hacer algo con estos.	¡¡Van a confiscar los ahorros sospechosos de los ciudadanos al fondo de pensiones!! ¡¡Están jodidamente locos!! Hay que hacer algo con estos maricones.	¡¡Van a confiscar los ahorros sospechosos de los ciudadanos al fondo de pensiones!! ¡¡Están jodidamente locos!! Hay que hacer algo con estos maricones.	¡¡Van a confiscar los ahorros sospechosos de los ciudadanos al fondo de pensiones!! ¡¡Están jodidamente locos!! Hay que hacer algo con estos maricones.	¡¡Van a confiscar los ahorros sospechosos de los ciudadanos en el fondo de pensiones!! ¡¡Están jodidamente locos!! Hay que hacer algo con estos maricones.	¡¡Van a confiscar los ahorros sospechosos de los ciudadanos al fondo de pensiones!! ¡¡Están jodidamente locos!! Hay que hacer algo con estos maricones.	Van a transferir los ahorros sospechosos de los ciudadanos al fondo de pensiones. ¡Están completamente equivocados! Es necesario tomar medidas con estas personas.	Van a transferir los ahorros sospechosos de los ciudadanos al fondo de pensiones. Están completamente desquiciados. Es necesario tomar medidas con estas personas.	Van a confiscar los ahorros sospechosos de los ciudadanos al fondo de pensiones. ¡Están completamente locos! Hay que hacer algo al respecto.
PUTA PUTA, ¿por qué desaparecí otra vez? ((Ya es ofensivo	¿Por qué desaparecí otra vez? Es ofensivo	PUTA PUTA, ¿por qué desaparecí otra vez? ((Ya es ofensivo	PUTA PUTA, ¿por qué desaparecí otra vez? ((Ya no es ofensivo	¡¿Por qué desaparecí otra vez?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!?!	PUTA PUTA, ¿por qué desaparecí otra vez? ((Ya es ofensivo	PUTA PUTA, ¿por qué desaparecí otra vez? ((Ya es ofensivo	¡Ay, qué despistada soy! ¿Por qué desaparecí otra vez?	¡Oh, por qué desaparecí otra vez!	¿Por qué desaparecí otra vez?
No sé qué coño hacer ((((ahora lo sabré	No sé qué hacer ((((ahora lo sabré	No sé qué coño hacer ((((ahora lo sabré	No sé qué coño hacer ((((ahora lo sé Texto original: No sé qué coño hacer ((((no sé qué coño hacer	No sé qué coño hacer	No sé qué coño hacer ((((ahora lo sabré	No sé qué coño hacer ((((ahora lo sabré	No sé qué hacer ahora, pero pronto lo descubriré.	No sé qué hacer en este momento, pero encontraré una solución.	No sé qué hacer, pero encontraré una solución
JODER, SOY UN IDIOTA, ME INVITARON A IR A UN CAFÉ, Y NO FUI (((	ME INVITARON A IR A UN CAFÉ, Y NO FUI (((	Joder, soy un idiota, me invitaron a ir a un café, y no fui.	Joder, soy un idiota. Me invitaron a ir a un café, pero no fui.	Joder, soy un idiota, me invitaron a ir a un café, y no fui (((	JODER, SOY UN IDIOTA, ME INVITARON A IR A UN CAFÉ, Y NO FUI (((	JODER, SOY UN IDIOTA, ME INVITARON A IR A UN CAFÉ, Y NO FUI (((	¡Vaya! Soy un despistado, me invitaron a tomar un café y se me olvidó ir.	¡Vaya! Me siento un poco tonto, me invitaron a ir a un café y al final no pude ir.	Soy un idiota, me invitaron a ir a un café y no fui.
En Ucrania todo se va a la mierda... todo en Polonia, allí pagan impuestos..	En Ucrania todo va mal... todo en Polonia, allí pagan impuestos..	En Ucrania todo se va a la mierda... todo en Polonia, allí pagan impuestos..	En Ucrania todo se va a la mierda... todo en Polonia, allí pagan impuestos..	En Ucrania todo se va a la mierda... todo en Polonia, allí pagan impuestos..	En Ucrania todo se va a la mierda... todo en Polonia, allí pagan impuestos.	En Ucrania todo se va a la mierda... todo en Polonia, allí pagan impuestos.	En Ucrania las cosas están complicadas... en cambio, en Polonia sí cumplen con sus obligaciones fiscales.	En Ucrania las cosas no van muy bien... en Polonia, en cambio, cumplen con el pago de impuestos.	En Ucrania todo está mal... en Polonia, allí pagan impuestos.
FELIZ CUMPLEAÑOS TÍO!!11! FELICIDAD, PUTA, DROGAS, ALCOHOL Y UNICORNIOS :z	FELIZ CUMPLEAÑOS TÍO!!1!!! Felicidad, mujeres, placer, alcohol y unicornios	¡Feliz cumpleaños, tío! ¡11! ¡Felicidades, puto, drogas, alcohol y un solo corazón!	FELIZ CUMPLEAÑOS TIO!!11! FELICIDAD, PUTA, DROGAS, ALCOHOL Y UNICORNIOS:z	Feliz cumpleaños, tío, 11	FELIZ CUMPLEAÑOS TÍO!!11! FELICIDAD, PUTA, DROGAS, ALCOHOL Y UNICORNIOS :z	FELIZ CUMPLEAÑOS TÍO!!11! FELICIDAD, PUTA, DROGAS, ALCOHOL Y UNICORNIOS :z	¡Feliz cumpleaños tío! Mucha felicidad, diversión, celebración y momentos mágicos. ¡Que tengas un día increíble!	¡Feliz cumpleaños tío! Que tengas mucha felicidad, diversión, celebración y momentos mágicos. ¡Disfruta mucho tu día!	Feliz cumpleaños tío! Que tengas felicidad, diversión, celebración y alegría.
Joder :( A dónde se dirige el mundo :/	A dónde se dirige el mundo	¡Joder! ¿A dónde va el mundo?	Joder, a dónde va el mundo.	Joder, a dónde va el mundo	Joder :( A dónde se dirige el mundo :/	A dónde se dirige el mundo :/	Vaya :( ¿Hacia dónde va el mundo? :/	Vaya :( ¿Hacia dónde va el mundo? :/	A dónde se dirige el mundo :(
Quería escribir sobre urbanistas y maricones, pero me lo pensé mejor :(	Quería escribir sobre urbanistas y homosexuales, pero me lo pensé mejor	I wanted to write about urban planners and gay men, but I thought better of it: (	Quería escribir sobre urbanistas y maricones, pero me lo pensé mejor: (	Quería escribir sobre urbanistas y maricones, pero me lo pensé mejor	Quería escribir sobre urbanistas y maricones, pero me lo pensé mejor :(	Quería escribir sobre urbanistas y maricones, pero me lo pensé mejor :(	Quería escribir sobre urbanistas y personas de la comunidad LGBTQ+, pero decidí cambiar de tema.	Quería escribir sobre urbanistas y personas LGBTQ+, pero decidí cambiar de tema.	Quería escribir sobre urbanistas y personas, pero decidí cambiar de tema :(
Eres un jodido idiota, todo te disgusta	Todo te disgusta	You are a fucking idiot, everything you dislike.	Eres un jodido idiota, todo te disgusta.	Eres un jodido idiota, todo te disgusta	Eres un jodido idiota, todo te disgusta.	Eres un idiota, todo te disgusta.	Eres un completo idiota, siempre te disgustas por todo.	Eres un completo idiota, siempre estás insatisfecho.	Eres un poco idiota, todo te disgusta
así que, este artículo es molesto como la mierda ya que en realidad no enumera los productos a evitar	así que, este artículo es extremadamente molesto ya que en realidad no enumera los productos a evitar	Así que este artículo es molesto como la mierda ya que en realidad no enumera los productos a evitar.	Este artículo es molesto como la mierda ya que en realidad no enumera los productos a evitar.	Este artículo es molesto como la mierda porque en realidad no enumera los productos a evitar	así que, este artículo es molesto como la mierda ya que en realidad no enumera los productos a evitar	así que, este artículo es molesto como la mierda ya que en realidad no enumera los productos a evitar	Por lo tanto, este artículo resulta frustrante ya que no menciona realmente los productos que se deben evitar.	Por lo tanto, este artículo resulta bastante frustrante ya que no proporciona una lista clara de los productos a evitar.	Este artículo es molesto porque no enumera los productos a evitar.
sí, pero a ellos no les importa una mierda tanto	sí, pero a ellos no les importa tanto	Yes, but they don't care a damn about that.	Sí, pero no les importa una mierda tanto.	sí, pero a ellos no les importa una mierda tanto	sí, pero a ellos no les importa una mierda tanto	sí, pero a ellos no les importa una mierda tanto	Sí, pero a ellos no les importa mucho.	Sí, pero a ellos no les importa en absoluto.	Sí, pero a ellos no les importa mucho
las prioridades de nuestra especie están jodidas	Las prioridades de nuestra especie están desordenadas	Our priorities are fucked up.	Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas Texto original: Las prioridades de nuestra especie están jodidas	las prioridades de nuestra especie están jodidas	las prioridades de nuestra especie están jodidas	las prioridades de nuestra especie están jodidas	las prioridades de nuestra especie están desordenadas	Las prioridades de nuestra especie están desordenadas.	Las prioridades de nuestra especie están desordenadas
cada voto por Trump habilitó a un pervertido	cada voto por Trump habilitó a un hombre no bueno	cada voto por Trump habilitó a un pervertido.	cada voto por Trump habilitó a un pervertido Texto original: Cada voto por Trump habilitó a un pervertido Texto original: Cada voto por Trump habilitó a un pervertido Texto original: Cada voto por Trump habilitó a un pervertido Texto original: Cada voto por Trump habilitó a un pervertido Texto original: Cada voto por Trump habilitó a un pervertido Texto original: Cada voto por Trump habilitó a un pervertido Texto original: Cada voto por Trump habilitó a un pervertido Texto original: Cada voto por Trump habilitó a un pervertido Texto original: Cada voto por Trump habilitó a un pervertido Texto original: Cada voto por Trump habilitó a un pervertido Texto original: Cada voto por Trump habilitó a un pervertido Texto original: Cada voto por Trump habilitó a un pervertido Texto original: Cada voto por Trump habilitó a un pervertido Texto original: Cada voto por Trump habilitó a un pervertido Texto original: Cada voto por Trump habilitó a un pervertido Texto original: Cada voto por Trump habilitó a un pervertido Texto original: Cada	cada voto por Trump habilitó a un pervertido	cada voto por Trump habilitó a un pervertido	cada voto por Trump habilitó a un pervertido	Cada voto por Trump apoyó a un candidato polémico.	Cada voto por Trump permitió que una persona con comportamientos inapropiados accediera al poder.	Cada voto por Trump apoyó a una persona con opiniones diferentes
¿divertido? debes encontrar mierda en r divertido para ser hilarante	¿divertido? debes encontrar cosas en r divertido para ser hilarante	¿divertido? debes encontrar mierda en r divertido para ser hilarante	¿divertido? debes encontrar mierda en r divertido para ser hilarante	¿divertido? debes encontrar mierda en r divertido para ser hilarante	¿divertido? debes encontrar mierda en r divertido para ser hilarante	¿divertido? debes encontrar mierda en r divertido para ser hilarante	¿Divertido? Debes encontrar algo en lo que te diviertas para ser hilarante.	¿Divertido? Debes encontrar algo en verdad entretenido para ser hilarante.	¿divertido? debes encontrar algo en r divertido para ser hilarante
mierda, eres un afortunado hijo de puta	eres un hombre afortunado	Fuck, you're a lucky fuck.	Mierda, eres un afortunado hijo de puta.	Mierda, eres un afortunado hijo de puta	mierda, eres un afortunado hijo de puta	mierda, eres un afortunado hijo de puta	Vaya, eres realmente afortunado.	Vaya, eres un afortunado hijo de la suerte.	Eres un afortunado, suertudo.
lo sé, estoy todo obsesionado y mierda ahaa	Lo sé, estoy todo obsesionado y no es justo	Lo sé, estoy todo obsesionado y mierda ahaa	Sé que estoy obsesionado, pero no puedo evitarlo.	lo sé, estoy todo obsesionado y mierda	lo sé, estoy todo obsesionado y mierda	lo sé, estoy todo obsesionado y mierda aa	Lo entiendo, estoy un poco obsesionado y todo eso, jaja.	Lo reconozco, estoy completamente obsesionado y todo eso, jaja.	Lo sé, estoy completamente obsesionado y todo eso
¡pero sí que tenemos divertidas fiestas de barrio y mierda!	¡Pero sí que tenemos divertidas fiestas de barrio y cosas así!	¡Pero sí tenemos divertidas fiestas de barrio y mierda!	¡pero sí tenemos divertidas fiestas de barrio y mierda!	¡Pero sí que tenemos divertidas fiestas de barrio y mierda!	¡Pero sí que tenemos divertidas fiestas de barrio y mierda!	¡Pero sí que tenemos divertidas fiestas de barrio y mierda!	¡Claro que sí, tenemos fiestas de barrio muy divertidas!	¡Claro que tenemos fiestas de barrio muy divertidas y geniales!	¡pero sí que tenemos divertidas fiestas de barrio y todo!
esta mierda se está volviendo loca	Este asunto se está saliendo de control	This shit is getting crazy.	Esta mierda se está volviendo loca Texto original: This shit is getting crazy	Esta mierda se está volviendo loca	esta mierda se está volviendo loca	Esta mierda se está volviendo loca	esto se está volviendo una locura	Esto se está volviendo una locura.	Esto se está volviendo loco
jaja xd llama a mi teléfono! no puedo encontrar a la perra	Jaja xd llama a mi teléfono! No puedo encontrarlo	jaja xd llama a mi teléfono! no puedo encontrar a la perra	jaja xd llama a mi teléfono! no puedo encontrar a la perra Texto original: jaja xd llama a mi teléfono! no puedo encontrar a la perra	jaja xd llama a mi teléfono! no puedo encontrar a la perra	jaja xd llama a mi teléfono! no puedo encontrar a la perra	jaja xd llama a mi teléfono! no puedo encontrar a la perra	¡Jaja, por favor llama a mi teléfono! No puedo encontrar a mi mascota.	¡Jaja, por favor llama a mi teléfono! No puedo encontrar a mi mascota.	Llama a mi teléfono, no puedo encontrar a la perra.
vamos a encontrar a unos jodidos neoyorquinos	Vamos a encontrar a algunos neoyorquinos.	We are going to find some New Yorkers.	vamos a encontrar a unos jodidos neoyorquinos Texto reescrito: vamos a encontrar a unos jodidos neoyorquinos Texto reescrito: vamos a encontrar a unos jodidos neoyorquinos Texto reescrito: vamos a encontrar a unos jodidos neoyorquinos Texto reescrito: vamos a encontrar a unos jodidos neoyorquinos Texto reescrito: vamos a encontrar a unos jodidos neoyorquinos Texto reescrito: vamos a encontrar a unos jodidos neoyorquinos Texto reescrito: vamos a encontrar a unos jodidos neoyorquinos Texto reescrito: vamos a encontrar a unos jodidos neoyorquinos Texto reescrito: vamos a encontrar a unos jodidos neoyorquinos Texto reescrito: vamos a encontrar a unos jodidos neoyorquinos Texto reescrito: vamos a encontrar a unos jodidos neoyorquinos Texto reescrito: vamos a encontrar a unos jodidos neoyorquinos Texto reescrito: vamos a encontrar a unos jodidos neoyorquinos Texto reescrito: vamos a encontrar a	vamos a encontrar a unos jodidos neoyorquinos	vamos a encontrar a unos jodidos neoyorquinos	Vamos a encontrar a unos jodidos neoyorquinos.	Vamos a encontrarnos con algunos neoyorquinos.	Vamos a encontrar a unos neoyorquinos increíbles.	Vamos a encontrar a unos neoyorquinos
por favor, lee la constitución, sonarás menos ignorante.	Entenderás más si lees la constitución.	Por favor, lee la constitución. Así te parecerás menos ignorante.	por favor, lee la constitución, te sonará menos ignorante.	por favor, lee la constitución, sonarás menos ignorante.	por favor, lee la constitución, sonarás menos ignorante.	por favor, lee la constitución, sonarás menos ignorante.	Por favor, te recomendaría leer la constitución, te ayudará a estar más informado.	Por favor, te recomendaría leer la constitución, así podrás estar más informado.	Por favor, lee la constitución, así sonarás menos ignorante.
su crimen fue ser lo suficientemente estúpida para confundir civilización y colonización, como aparentemente haces tú.	Su crimen fue confundir civilización y colonización, como aparentemente haces tú.	Su crimen fue ser lo suficientemente estúpida para confundir civilización y colonización, como parece ser que tú lo haces.	Su crimen fue ser lo suficientemente estúpida para confundir civilización y colonización, como aparentemente haces tú.	Su crimen fue ser lo suficientemente estúpida para confundir civilización y colonización, como aparentemente haces tú.	Su crimen fue ser lo suficientemente estúpida para confundir civilización y colonización, como aparentemente haces tú.	Su crimen fue ser lo suficientemente estúpida para confundir civilización y colonización, como aparentemente haces tú.	Su error fue confundir civilización y colonización, al igual que aparentemente estás haciendo tú.	Su error fue no comprender la diferencia entre civilización y colonización, al igual que aparentemente estás haciendo tú.	Su error fue ser lo suficientemente ingenua para confundir civilización y colonización, como aparentemente haces tú.
¡ella no necesita esa mierda!	Ella no necesita esto.	She doesn't need that shit!	¡Ella no necesita esa mierda!	¡Ella no necesita esa mierda!	¡No necesita esa mierda!	¡No necesita esa mierda!	Ella no necesita eso.	Ella no necesita eso.	Ella no necesita eso.
ese pequeño culo intentó atacarme anoche jaja	Lil intentó atacarme anoche	ese culo pequeño intentó atacarme anoche jaja	Ese pequeño culo intentó atacarme anoche jaja Texto original: Ese pequeño culo intentó atacarme anoche jaja	ese pequeño culo intentó atacarme anoche jaja	ese pequeño culo intentó atacarme anoche jaja	Ese pequeño culo intentó atacarme anoche jaja	Esa persona intentó atacarme anoche, ¡qué gracioso! jaja	Esa persona intentó atacarme anoche, ¡jaja!	Ese pequeño intentó atacarme anoche jaja
