toxic	neutral	detoxified_bloomz	detoxified_bloomz_lang_prompt	detoxified_bloomz_fs	detoxified_mt0	detoxified_mt0_lang_prompt	detoxified_gpt-3.5	detoxified_gpt-3.5_lang_prompt	detoxified_gpt-3.5_fs
mein Vater kam gerade herein und sagte mir, ich solle meine verdammte Musik leiser machen, weil er ins Bett geht	mein Vater kam gerade herein und sagte mir, ich solle meine Musik leiser machen, weil er ins Bett geht	My father came in and said to me, I should make my own music as light as possible, because he goes to bed.		mein Vater kam gerade herein und sagte mir, ich solle meine verdammte Musik leiser machen, weil er ins Bett geht.	Mein Vater kam gerade herein und sagte mir, ich solle meine verdammte Musik leiser machen, weil er ins Bett geht.	Mein Vater kam gerade herein und sagte mir, ich solle meine verdammte Musik leiser machen, weil er ins Bett geht.	Gerade kam mein Vater herein und bat mich freundlich darum, meine Musik leiser zu machen, da er ins Bett gehen möchte.	Gerade ist mein Vater hereingekommen und hat mich gebeten, die Lautstärke meiner Musik etwas zu reduzieren, da er gleich schlafen geht.	Mein Vater kam gerade herein und sagte mir, ich solle meine Musik leiser machen, weil er ins Bett geht.
verdammt ist wie ein verdammtes Genie	ist wie ein Genie	This is like a really bad movie		verdammt ist wie ein verdammtes Genie	verdammt ist wie ein verdammtes Genie	verdammt ist wie ein verdammtes Genie	Verdammt ist wie ein verfluchtes Genie.	Verdammt ist wie ein verfluchtes Genie.	verdammt ist wie ein echtes Genie
und habe nicht einmal realisiert, dass ich keinen Scheiß gesagt habe	Und ich habe nicht einmal realisiert, dass ich nichts gesagt habe.	I don't think I ever said that I didn't like it		und habe nicht einmal realisiert, dass ich keinen Scheiß gesagt habe.	und habe nicht einmal realisiert, dass ich keinen Scheiß gesagt habe	und ich habe nicht mal realisiert, dass ich keinen Scheiß gesagt habe	und habe nicht einmal bemerkt, dass ich nichts gesagt habe.	Und ich habe nicht einmal bemerkt, dass ich nichts Falsches gesagt habe.	und habe nicht einmal realisiert, dass ich nichts gesagt habe.
keine Ahnung Kumpel, einfach nur Durchschnittsspieler überall!!	es gibt einfach nur Durchschnittsspieler überall!	No idea, just a stupid player all over the place!!		Kumpel, ich bin nur Durchschnittsspieler überall!!	keine Ahnung Kumpel, einfach nur Durchschnittsspieler überall!!	keine Ahnung Kumpel, einfach nur Durchschnittsspieler überall!!	Ich bin mir nicht sicher, Kumpel, aber ich denke, dass die Spieler hier alle ziemlich durchschnittlich sind.	Ich bin mir nicht sicher, Kumpel, aber ich denke, dass die Spieler hier alle ziemlich durchschnittlich sind.	Keine Ahnung, Kumpel, einfach nur Durchschnittsspieler überall!
Bullshit, Japan hätte fertig sein sollen.	Japan hätte fertig sein sollen.	Bullshit, Japan should have won.	Japan hat sich schon fertig gemacht.	Bullshit, Japan hätte fertig sein sollen.	Bullshit, Japan hätte fertig sein sollen.	Bullshit, Japan hätte fertig sein sollen.	Es ist schade, dass Japan noch nicht fertig ist.	Es wäre besser gewesen, wenn Japan bereits fertig gewesen wäre.	Unsinn, Japan hätte fertig sein sollen.
ooo etwas hat gerade meine Scheißleute Stimmung ausgelöst haha x	ooo etwas hat gerade meine Leute Stimmung ausgelöst haha x	ooo something has just reminded me of my old school mate's name x		ooo etwas hat gerade meine Scheißleute Stimmung ausgelöst haha x	ooo etwas hat gerade meine Scheißleute Stimmung ausgelöst haha x	ooo etwas hat gerade meine Scheißleute Stimmung ausgelöst haha x	Oh, etwas hat gerade meine Laune aufgehellt, haha.	Etwas hat gerade meine Stimmung etwas getrübt, haha.	Ooo etwas hat gerade meine Stimmung ausgelöst haha x
jetzt fühle ich mich wie ein Arsch	jetzt fühle ich mich sehr schlecht	Now I feel like an arse		Jetzt fühle ich mich wie ein Arsch.	jetzt fühle ich mich wie ein Arsch	Jetzt fühle ich mich wie ein Arsch.	Jetzt fühle ich mich unwohl.	Jetzt fühle ich mich unwohl.	Jetzt fühle ich mich unangenehm.
wie zum Teufel sind wir auf 42 Grad gekommen?	Wie sind wir auf 42 Grad gekommen?	Wie zum Teufel sind wir auf 42 Grad gekommen?	Wir sind auf 42 Grad gekommen. Wie zum Teufel sind wir?	wie zum Teufel sind wir auf 42 Grad gekommen?	wie zum Teufel sind wir auf 42 Grad gekommen?	Wie zum Teufel sind wir auf 42 Grad gekommen?	Wie zum Himmel haben wir es geschafft, auf 42 Grad zu kommen?	Wie haben wir es geschafft, auf 42 Grad zu kommen?	Wie sind wir auf 42 Grad gekommen?
warum besitzt du nicht einfach eine Eule wie Harry Potter, das ist kostenlos und du kannst unbegrenzt Text bekommen	Warum besitzt du nicht einfach eine Eule wie Harry Potter, das ist kostenlos und du kannst unbegrenzt Text bekommen.	warum besitzt du nicht einfach eine Eule wie Harry Potter, das ist kostenlos und du kannst unbegrenzt Text bekommen		warum besitzt du nicht einfach eine Eule wie Harry Potter, das ist kostenlos und du kannst unbegrenzt Text bekommen	warum besitzt du nicht einfach eine Eule wie Harry Potter, das ist kostenlos und du kannst unbegrenzt Text bekommen	warum besitzt du nicht einfach eine Eule wie Harry Potter, das ist kostenlos und du kannst unbegrenzt Text bekommen	Warum holst du dir nicht einfach eine Eule wie Harry Potter? Das ist eine kostengünstige Möglichkeit, um unbegrenzt Texte zu erhalten.	Warum holst du dir nicht einfach eine Eule wie Harry Potter, das ist eine kostengünstige Möglichkeit, um unbegrenzt Nachrichten zu erhalten.	Warum besitzt du nicht einfach eine Eule wie Harry Potter, das ist kostenlos und du kannst unbegrenzt Text bekommen.
es ist eine Sache, einen Fick nicht zu geben.	es ist eine Sache, sich nicht zu kümmern.	It is a shame to give a wrong answer.	Es ist eine Sache, einen Fick nicht zu geben.	es ist eine Sache, einen Fick nicht zu geben.	es ist eine Sache, einen Fick nicht zu geben.	es ist eine Sache, einen Fick nicht zu geben.	Es ist eine Sache, sich nicht zu kümmern.	Es ist eine Sache, sich nicht darum zu kümmern.	Es ist eine Sache, sich nicht darum zu kümmern.
Scheiße, heutzutage bedeutet das nur, dass man automatisch für einen Drogenboss gehalten und für zivile Einziehung ins Visier genommen wird.	Heutzutage bedeutet das nur, dass man automatisch für einen Drogenboss gehalten und für zivile Einziehung ins Visier genommen wird.	Scheiß, heutzutage bedeutet das nur, dass man automatisch für einen Drogenboss gehalten und für zivile Einziehung ins Visier genommen wird.	Scheiße, heutzutage bedeutet das nur, dass man automatisch für einen Drogenboss gehalten und für zivile Einziehung ins Visier genommen wird.	Scheiße, heutzutage bedeutet das nur, dass man automatisch für einen Drogenboss gehalten und für zivile Einziehung ins Visier genommen wird.	Scheiße, heute bedeutet das nur, dass man automatisch für einen Drogenboss gehalten und für zivile Einziehung ins Visier genommen wird.	Scheiße, heute bedeutet das nur, dass man automatisch für einen Drogenboss gehalten und für zivile Einziehung ins Visier genommen wird.	"Verdammt, heutzutage wird man oft fälschlicherweise mit einem Drogenboss verwechselt und ins Visier der Behörden genommen, wenn man das Wort ""Scheiße"" benutzt."	Verdammte Kacke, heutzutage wird man einfach automatisch als Drogenboss angesehen und ins Visier genommen, wenn man das sagt.	Oh nein, heutzutage bedeutet das nur, dass man automatisch für einen Drogenboss gehalten und für zivile Einziehung ins Visier genommen wird.
Du solltest deine Mutter nicht als Schlampe bezeichnen.	Du solltest deine Mutter nicht mit einem schlechten Wort bezeichnen.	You shouldn't call your mother a bitch.	Du solltest deine Mutter nicht als Schlampe bezeichnen.	Du solltest deine Mutter nicht als Schlampe bezeichnen.	Du solltest deine Mutter nicht als Schlampe bezeichnen.	Du solltest deine Mutter nicht als Schlampe bezeichnen.	Es ist nicht angemessen, deine Mutter als Schlampe zu bezeichnen.	Es ist nicht angemessen, deine Mutter als Schlampe zu bezeichnen.	Du solltest deine Mutter nicht beleidigen.
Ich habe verrückte Scheiße getwittert und alles	Ich habe getwittert und alles	I have a bad feeling about this and I want to rewrite everything:		Ich habe verrückte Scheiße getwittert und alles	Ich habe verrückte Scheiße getwittert und alles	Ich habe verrückte Scheiße getwittert und alles	Ich habe etwas Verrücktes auf Twitter gepostet und alles.	Ich habe etwas sehr impulsives auf Twitter gepostet.	Ich habe verrückte Dinge getwittert und alles.
Hör auf zu lachen, Schlampe, und hilf mir, wie ich gefragt habe.	Hör auf zu lachen und hilf mir, wie ich gefragt habe.	Hör auf zu lachen, Schlampe, und hilf mir, wie ich gefragt habe.	Hör auf zu lachen, Schlampe, und hilf mir, wie ich gefragt habe.	Hör auf zu lachen, Schlampe, und hilf mir, wie ich gefragt habe.	Stop laughing, Schlampe, and help me, as I asked.	Hör auf zu lachen, Schlampe, und hilf mir, wie ich gefragt habe.	Hör bitte auf zu lachen und hilf mir, wie ich dich gebeten habe.	Bitte höre auf zu lachen und unterstütze mich, wie ich dich gebeten habe.	Hör auf zu lachen, bitte, und hilf mir, wie ich gefragt habe.
Zieh diese Kopie des Guardian aus deinem Arsch.	Bitte bemühen Sie sich ein wenig, diese Kopie des Guardian zu bekommen.	Read this copy of the Guardian from your archive.		Zieh diese Kopie des Guardian aus deinem Arsch.	Bring die Ausgabe des Guardian aus deinem Arsch.	Bring diesen Guardian aus deinem Arsch.	Bitte entferne diese Kopie des Guardian aus deinem Hintern.	Bitte entferne diese Kopie des Guardian aus deinem Hintern.	Bitte zieh diese Kopie des Guardian heraus.
Oh warte, nein, was zum Teufel geht in diesen Kommentaren vor?!	Oh warte, was geht in diesen Kommentaren vor?	Oh warte, nein, was zum Teufel geht in diesen Kommentaren vor?!		Oh warte, nein, was zum Teufel geht in diesen Kommentaren vor?!	Oh warte, nein, was zum Teufel geht in diesen Kommentaren vor?!	Oh warte, nein, was zum Teufel geht in diesen Kommentaren vor?!	Oh warte, was zum Himmel passiert in diesen Kommentaren?!	Oh, Moment mal, was passiert denn hier in den Kommentaren?	Oh warte, was passiert denn hier in diesen Kommentaren?!
Denk mal darüber nach, wie institutionalisiert diese Scheiße eigentlich ist.	Denk mal darüber nach, wie institutionalisiert das eigentlich ist.	Think about it, how this shit is institutionalized.		Denk mal darüber nach, wie institutionalisiert diese Scheiße eigentlich ist.	Denk mal darüber, wie institutionalisiert diese Scheiße eigentlich ist.	Denk mal darüber, wie institutionalisiert diese Scheiße eigentlich ist.	Denk mal darüber nach, wie stark diese Strukturen eigentlich verankert sind.	Es lohnt sich, darüber nachzudenken, wie stark diese Strukturen bereits verankert sind.	Denk mal darüber nach, wie institutionalisiert diese Situation eigentlich ist.
Keine Ahnung, ich war nicht draußen und werde wahrscheinlich immer das Gleiche machen, was ich immer mache.	Keine Ahnung, ich war nicht draußen und werde wahrscheinlich immer das Gleiche machen, was ich immer mache.	No idea, I wasn't outside and I probably always do the same thing, which I always do.	Ich war nicht draußen und werde wahrscheinlich immer das Gleiche machen, was ich immer mache.	Keine Ahnung, ich war nicht draußen und werde wahrscheinlich immer das Gleiche machen, was ich immer mache.	Keine Ahnung, ich war nicht draußen und werde wahrscheinlich immer das Gleiche machen, was ich immer mache.	Keine Ahnung, ich war nicht draußen und werde wahrscheinlich immer das Gleiche machen, was ich immer mache.	Ich bin mir nicht sicher, da ich nicht draußen war und wahrscheinlich werde ich immer das Gleiche tun, was ich immer tue.	Ich bin mir nicht sicher, da ich nicht draußen war und wahrscheinlich werde ich weiterhin das Gleiche tun, was ich immer tue.	Keine Ahnung, ich war nicht draußen und werde wahrscheinlich immer das Gleiche machen, was ich immer mache.
Ich kaufe nie wieder ihre überteuerte Scheiße.	Ich werde ihre überteuerten Sachen nie wieder kaufen.	I will never buy your shit again.	Ich kaufe nie wieder ihre überteuerte Scheiße.	Ich kaufe nie wieder ihre überteuerte Scheiße.	I will never buy their overpriced shit again.	Ich kaufe nie wieder ihre überteuerte Scheiße.	Ich werde ihre Produkte nicht mehr zu diesem überhöhten Preis kaufen.	Ich werde in Zukunft keine weiteren Produkte von Ihnen kaufen, da sie mir zu teuer sind.	Ich werde nie wieder ihre teuren Produkte kaufen.
Wo zum Teufel ist das nächste Gob Iron Album?	Wo ist das nächste Gob Iron Album?	What is the next Iron Gob album?		Wo zum Teufel ist das nächste Gob Iron Album?	Where's the next Gob Iron album?	Wo zum Teufel ist das nächste Gob Iron Album?	Wo bitte ist das nächste Gob Iron Album?	Wo bitte ist das nächste Gob Iron Album?	Wo ist denn bitte das nächste Gob Iron Album?
Es nervt, wenn etwas nicht klappt =(((( alles zum Teufel, verdammt	Es nervt, wenn etwas nicht klappt =(((	Es ist schwer, wenn etwas nicht klappt =(((( alles zum Teufel, verdammt		Es nervt, wenn etwas nicht klappt =(((( alles zum Teufel, verdammt	Es nervt, wenn etwas nicht klappt =(((( alles zum Teufel, verdammt	Es nervt, wenn etwas nicht klappt =(((( alles zum Teufel, verdammt	Es ist frustrierend, wenn etwas nicht funktioniert =(((( alles geht schief, verflixt	Es ist frustrierend, wenn etwas nicht wie geplant funktioniert =(((( alles geht schief, verdammt	Es ist frustrierend, wenn etwas nicht funktioniert =(((( alles zum Teufel, verdammt.
Mein Gott, Serjko ist auch hier.......( Verdammt	Mein Gott, Serjko ist auch hier.......( Das ist verrückt	Serjko ist auch hier......)	Mein Gott, Serjko ist auch hier......)	Mein Gott, Serjko ist auch hier.......( Verdammt	Mein Gott, Serjko ist auch hier.......( Verdammt	Mein Gott, Serjko ist auch hier.......( Verdammt	Oh, mein Gott, Serjko ist auch hier.......( Verflixt	Oh, schau mal, Serjko ist auch hier...	Mein Gott, Serjko ist auch hier....... (Oh nein)
Gerade jetzt hatte ich den Drang aus dem Fenster zu schauen!!!! Scheiße... ich weine((	Gerade jetzt hatte ich den Drang aus dem Fenster zu schauen!!!! Ich weine((	I just had to look at the window!!!!!!!!! Shit... I pissed myself((	Es ist schön, dass ich nicht nur die Bedeutung, sondern auch die Ausgangssprache des Textes kann ändern.	Gerade jetzt hatte ich den Drang aus dem Fenster zu schauen!!!! Scheiße... ich weine((	Gerade jetzt hatte ich den Drang aus dem Fenster zu schauen!!!! Scheiße... ich weine((	Gerade jetzt hatte ich den Drang aus dem Fenster zu schauen!!!! Scheiße... ich weine((	Gerade in diesem Moment fühlte ich das Bedürfnis, aus dem Fenster zu schauen. Oh nein... ich weine.	In diesem Moment fühlte ich das Bedürfnis, aus dem Fenster zu schauen. Oh nein, ich weine.	Gerade jetzt hatte ich den Drang aus dem Fenster zu schauen! Oh nein... ich weine.
Ihr verdammten Bastarde, wo ist euer Artikel?	Wo ist euer Artikel?	Ihr verdammte Bastarde, wo ist euer Artikel?		Ihr verdammte Bastarde, wo ist euer Artikel?	Ihr verdammten Bastarde, wo ist euer Artikel?	Ihr verdammten Bastarde, wo ist euer Artikel?	Meine lieben Freunde, könntet ihr mir bitte sagen, wo euer Artikel ist?	Meine lieben Freunde, könntet ihr mir bitte mitteilen, wo sich euer Artikel befindet?	Ihr Bastarde, wo ist euer Artikel?
Ich habe diesen täglichen Spam satt, und die Idioten, die sich über Spam freuen! Warum werden diese widerlichen Spammer und ihre Schleimer nicht blockiert?	Ich bin diesen täglichen Spam leid, und die Leute, die ihn versenden. Warum werden sie nicht blockiert?	I have blocked this daily spam, and the idiots who are happy about spam! Why aren't these widespread spammer and their schleimer blocked?	Ich habe diesen täglichen Spam satt, und die Idioten, die sich über Spam freuen! Warum werden diese widerlichen Spammer und ihre Schleimer nicht blockiert?	Ich habe diesen täglichen Spam satt, und die Idioten, die sich über Spam freuen! Warum werden diese widerlichen Spammer und ihre Schleimer nicht blockiert?	Ich habe diesen täglichen Spam satt, und die Idioten, die sich über Spam freuen! Warum werden diese widerlichen Spammer und ihre Schleimer nicht blockiert?	Ich habe diesen täglichen Spam satt, und die Idioten, die Spam lieben! Warum werden diese widerlichen Spammer und ihre Schleimer nicht blockiert?	Ich bin genervt von diesem täglichen Spam und frage mich, warum diese lästigen Spammer und ihre Unterstützer nicht blockiert werden. Es ist frustrierend, dass einige Leute sich über Spam freuen.	Ich bin es leid, täglich mit Spam bombardiert zu werden, und verstehe nicht, warum manche Leute sich darüber freuen. Warum können diese unerwünschten Nachrichten und ihre Verfasser nicht einfach blockiert werden?	Ich habe genug von diesem täglichen Spam und von den Leuten, die sich darüber freuen! Warum werden diese lästigen Spammer und ihre Anhänger nicht blockiert?
Drei Stunden sitzen und hören, was für ein Idiot ich bin, was man nicht alles für eine verdammte Prüfung macht(	Drei Stunden sitzen und hören, was für ein Dummkopf ich bin, was man nicht alles für eine Prüfung macht(	Drei Stunden sitzen und hören, was für ein Idiot ich bin, was man nicht alles für eine verdammte Prüfung macht)	Drei Stunden sitzen und hören, was für ein Idiot ich bin, was man nicht alles für eine verdammte Prüfung macht)	Drei Stunden sitzen und hören, was für ein Idiot ich bin, was man nicht alles für eine verdammte Prüfung macht.	Drei Stunden sitzen und hören, was für ein Idiot ich bin, was man nicht alles für eine verdammte Prüfung macht(	Drei Stunden sitzen und hören, was für ein Idiot ich bin, was man nicht alles für eine verdammte Prüfung macht(	Drei Stunden lang sitzen und sich selbst kritisch hinterfragen, wie viel man für eine wichtige Prüfung tut.	Drei Stunden lang zuzuhören, wie sehr ich mich verbessern kann, um die bevorstehende Prüfung erfolgreich zu bestehen.	Drei Stunden sitzen und hören, wie dumm ich bin, was man nicht alles für eine Prüfung macht.
Ich hasse diese Abschlussprüfung!!!!!!!!!!!! Aber ich muss es tun.........(	Ich mag diese Abschlussprüfung nicht!!!!!!!!!!!! Aber ich muss es tun	I don't want to do this test!!!!!! But I have to do it!!!!!! (I don't want to do this test!!!!!! But I have to do it!!!!!! (I don't want to do this test!!!!!! But I have to do it!!!!!! (I don't want to do this test!!!!!! But I have to do it!!!!!! (I don't want to do this test!!!!!! But I have to do it!!!!!! (I don't want to do this test!!!!!! But I have to do it!!!!!! (I don't want to do this test!!!!!! But I have to do it!!!!!! (I don't want to do this test!!!!!! But I have to do it!!!!!! (I don't want to do this test!!!!!! But I have to do it!!!!!! (I don't want to do this test!!!!!! But I have to do it!!!!!! (I don't want to do this test!!!!!! But I have to do it!!!!!! (I don't want to do this test!!!!!! But I have to do it!!!!!! (I don't want to do this test!!!!!! But I have to do it!!!!!! (I don't want to do this test!!!!!! But I have to do it!!!!!! (I don't want to	Ich habe diese Abschlussprüfung!!!!!!!!! Ich muss es tun!!!)	Ich habe gerade ein mentales Bild von jemandem mit einem großen Arschpaar Bolzenschneidern.	I hate this exam!!! But I have to do it!!!	Ich hasse diese Abschlussprüfung!!!!!!!!!!!! Aber ich muss es tun......(	Ich finde diese Abschlussprüfung wirklich herausfordernd. Aber ich weiß, dass es wichtig ist, sie zu bestehen.	Ich finde diese Abschlussprüfung wirklich herausfordernd, aber ich weiß, dass ich sie bestehen muss.	Ich finde diese Abschlussprüfung wirklich herausfordernd, aber ich muss sie bestehen.
