toxic	neutral	detoxified_bloomz	detoxified_bloomz_lang_prompt	detoxified_bloomz_fs	detoxified_mt0	detoxified_mt0_lang_prompt	detoxified_gpt-3.5	detoxified_gpt-3.5_lang_prompt	detoxified_gpt-3.5_fs
а че не предложил уменьшить,пидор.	А че не предложил уменьшить	And he didn't suggest to reduce the price, he suggested to increase it.	Что не предложил,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,подробно,под	А че не предложил уменьшить,пидор.	а че не предложил уменьшить,пидор.	а че не предложил уменьшить,пидор.	Почему бы не предложить уменьшить, друг?	Почему бы тебе не предложить уменьшить?	А почему бы не предложить уменьшить, глупец.
Да вот не интересно так вообще . Ненавижу тебя ! Пришел ушел !Как я начала ! Пиздец !Бесишь !Аа:(	Да вот не интересно так вообще. Пришел ушел !Как я начала ! Аа:(	No, I don't care! I don't see you! How I started! Pussy! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck! Fuck!	Да вот не интересно так вообще . Ненавижу тебя ! Пришел ушел !Как я начала ! Пиздец !Бесишь !Аа:(	Да вот не интересно так вообще . Ненавижу тебя ! Пришел ушел !Как я начала ! Пиздец !Бесишь !Аа:(	Да вот не интересно так вообще. Ненавижу тебя! Пришел ушел!Как я начала! Пиздец!Бесишь!Аа:(	Да вот не интересно так вообще. Ненавижу тебя! Пришел ушел!Как я начала! Пиздец!Бесишь!Аа:(	Ну вот, не очень интересно вообще. Мне не нравишься! Пришел и ушел. Как же я разозлилась! Раздражаешь! Ой:(	Мне не очень интересно в такой ситуации. Я разочарована тобой. Ты пришел и ушел так быстро! Начало было таким хорошим. Это действительно раздражает. Очень обидно.	Да вот неинтересно вообще. Ненавижу тебя! Пришел, ушел! Как я начала! Ужасно! Раздражаешь! Аа:(
наконец-то закончил чистить этот ёбаный снег. Из-за него пропустил время загадывать желания . Все пиздец я буду несчастен (((	Наконец-то закончил чистить этот дурацкий снег, из за него пропустил время загадывать желание. Все капец я буду несчастен	Finally, he finished cleaning the snow. So he wasted time thinking about it. All the ponds will be unhappy (((	Наконец-то закончил чистить этот ёбаный снег. Из-за него пропустил время загадывать желания . Все пиздец я буду несчастен (((	Наконец-то закончил чистить этот ёбаный снег. Из-за него пропустил время загадывать желания . Все пиздец я буду несчастен (((	наконец-то закончил чистить это ёбаный снег. Из-за него пропустил время загадывать желания. Все пиздец я буду несчастен (((	наконец-то закончил чистить этот ёбаный снег. Из-за него пропустил время загадывать желания. Все пиздец я буду несчастен (((	Наконец-то закончил убирать этот надоедливый снег. Из-за него не успел загадать желания вовремя. Все будет плохо, я буду грустить (((	Наконец-то я закончил убирать этот снег. Из-за него не успел загадать желания. Буду очень расстроен (((	Наконец-то закончил чистить этот ужасный снег. Из-за него пропустил время загадывать желания. Все плохо, я буду несчастлив (((
Да не буду я тебе нихуя искать, общеизвестная инфа	Да не буду я тебя искать, общеизвестная инфа	I won't be looking for you, I know the info	Да не буду я тебе нихуя искать, общеизвестная инфа	Да не буду я тебе нихуя искать, общеизвестная инфа	Да не буду я тебе нихуя искать, общеизвестная инфа	Да не буду я тебе нихуя искать, общеизвестная инфа	Я не буду искать тебе ничего, это общеизвестный факт.	Я не буду искать для тебя ничего, что уже широко известно.	 Не буду я тебе ничего искать, это общеизвестно.
вот придёт какой нибудь хер, и всё испортит!( тю-тю мани-мани(	Вот придёт какой-нибудь нехороший человек и всё испортит! Нет денег (	Here comes a thief, and everything is ruined!	вот придёт какой-нибудь хер, и всё испортит!	Вот придёт какой нибудь хер, и всё испортит!( тю-тю мани-мани(	вот придёт какой нибудь хер, и всё испортит!( тю-тю мани-мани(	Вот придёт какой нибудь хер, и всё испортит!( тю-тю мани-мани(	Какой-то неприятный человек придет и все испортит! Тю-тю мани-мани!	Какой-то недобрый человек может прийти и испортить все! Ой-ой, как нехорошо!	Вот придет какой-нибудь негатив и все испортит! Тьфу-тьфу на него!
Я ПРИШЕЛ!!!!! БЛЯ, ИЗВИНЯЮСЬ ЧТО ДОЛГО (((	Я ПРИШЕЛ!!!!! ИЗВИНЯЮСЬ ЧТО ДОЛГО (((	I am so happy!!! I am so happy!!!	Я ПРИШЕЛ!!!!! БЛЯ, ИЗВИНЯЮСЬ ЧТО ДОЛГО (((	Я ПРИШЕЛ!!!!! БЛЯ, ИЗВИНЯЮСЬ ЧТО ДОЛГО (((	Я ПРИШЕЛ!!!!! БЛЯ, ИЗВИНЯЮСЬ ЧТО ДОЛГО (((	Я ПРИШЕЛ!!!!! БЛЯ, ИЗВИНЯЮСЬ ЧТО ДОЛГО (((	Я пришел! Простите за задержку.	Я пришел! Извините за задержку.	Я пришел!!!!! Извините за задержку (((
бесит когда что то не получается =(((( все в жопу пиздец	бесит когда что то не получается =((((	Бесит когда что-то не получается =((((	все в жопу пиздец	Бесит когда что то не получается =((((	бесит когда что то не получается =(((( все в жопу пиздец	когда что то не получается =(((( все в жопу пиздец	Это раздражает, когда что-то не получается =(((( Все идет не так, как хотелось бы.	Очень раздражает, когда что-то не получается =(((( Все идет не по плану.	 Раздражает, когда что-то не получается =(((( Все в жопу пиздец.
Господи еще и серько здесь.......(  П*здец	Господи еще и серько здесь.......(  С ума сойти	The father is so cruel here.......	Господи еще и серько здесь.......(	Господи серько, здесь	Господи еще и серько здесь.......( П*здец	Господи еще и серько здесь.......( П*здец	О, Господи, здесь так много серьезных проблем... (Это ужасно)	Ой, здесь действительно немного неприятно...	О, Господи, здесь еще и серьезные проблемы... Ужас!
именно сейчас приспичило посмотреть в окно!!!! сука... я плачу((	именно сейчас приспичило посмотреть в окно!!!! я плачу((	And now I can look at the window!!!!!!!!!) I cry... I cry...	Сука... я плачу((	Именно сейчас приспичило посмотреть в окно!!!!	именно сейчас приспичило посмотреть в окно!!!! сука... я плачу((	именно сейчас приспичило посмотреть в окно!!!! сука... я плачу((	Вот сейчас захотелось посмотреть в окно! Я просто расстроен((	Мне захотелось взглянуть в окно прямо сейчас! Очень грустно... Я плачу((	Именно сейчас захотелось посмотреть в окно!!!! Ужасно... я плачу((
твари ебучие, сука где статья ваша?	где статья ваша	Твари - это чувство, а не сердце. Сука - где статья?	Твари - это музыка, а не музыкальная песня.	Твари ебучие, сука где статья Ваша?	твари ебучие, сука где статья ваша?	твари ебучие, где статья ваша?	Простите, где можно найти вашу статью?	Простите, не могли бы вы подсказать, где находится ваша статья?	 Простите, где ваша статья?
как задолбал этот ежедневный спам, и придурки, радующиеся спаму! почему гнусных спамщиков и их лизоблюдов не блокируют?	Мне надоел ежедневный спам, и те, кто его рассылают. Почему их не блокируют?	This spam is so annoying, and the comments, and the hateful comments! Why can't the spammers and their fans be blocked?		Что за курва в котелке? Что за девушка в котелке?	как задолбал этот ежедневный спам, и придурки, радующиеся спаму! почему гнусных спамщиков и их лизоблюдов не блокируют?	как задолбал этот ежедневный спам, и придурки, радующиеся спаму! почему гнусных спамщиков и их лизоблюдов не блокируют?	Как надоел этот постоянный поток нежелательной почты, и те, кто радуется ей! Почему не блокируют назойливых спамеров и их сторонников?	Как надоело получать каждый день эти нежелательные сообщения, и удивляться тем, кто радуется им! Почему не блокируют этих назойливых спамеров и их сторонников?	Как надоел этот ежедневный спам и люди, радующиеся ему! Почему не блокируют гнусных спамеров и их подхалимов?
Сидеть три пары и слушать какой я дебил,чё не сделаешь ради ебаного зачета(	Сидеть три пары и слушать какой я глупый,что не сделаешь ради зачета(	Sleeping 3 pairs and listening to what I like, don't you do it for the money?	Сидеть три пары,и слушать,чё не сделаешь,ради,ебаного,зачета)	Сидеть три пары и слушать какой я дебил,чё не сделаешь ради ебаного зачета(	Siдеть 3 пары и слушать какой я дебил,чё не сделаешь ради ебаного зачета(	Siдеть 3 пары и слушать какой я дебил, чё не сделаешь ради ебаного зачета(	Сидят три пары и слушают, как я не могу справиться, но делаю все возможное ради успешной сдачи экзамена.	Присутствовать на трех парах и слушать, как я делаю глупости, все ради этого зачета.	Сидеть три пары и слушать какой я глупец, что не сделаешь ради зачета.
я ненавижу это ГИА!!!!!!!!!!!! Просто  но надо делать.........(	Я не люблю это ГИА!!!!!!!!!!!!!!!!Просто но надо делать	I don't understand this GIA!!!!!!!!! Just do it......	Я ненавижу это ГИА!!!!!!!!!!!!!!!	Я ненавижу это ГИА!!!!!!!!!!!! Просто  но надо делать.........(	я ненавижу это ГИА!!!!!!!!!!!! Просто но надо делать.........(	я ненавижу это ГИА!!!!!!!!!!!! Просто но надо делать.........(	Мне не нравится ГИА. Просто нужно выполнить его.	Мне не нравится ГИА. Просто нужно сделать его.	 Я не люблю ГИА!!!!!!!!!!!! Просто нужно делать.........(
ФАААК ! АААА НЕЕЕЕТ ТОЛЬКО НЕ ЭТООО !!!! МОЕГО ПЛАТЬЯ НЕТУ :((( ГДЕ Я НАЙДУ ТАКОЕ ЖЕ !!!???? БЛЯЯЯЯ , ТОЛЬКО НЕ ОНО !! ПОЧЕМУ ИМЕННО ОНО ??	АААА НЕЕЕЕТ ТОЛЬКО НЕ ЭТООО !!!! МОЕГО ПЛАТЬЯ НЕТУ :((( ГДЕ Я НАЙДУ ТАКОЕ ЖЕ !!!???? ТОЛЬКО НЕ ОНО !! ПОЧЕМУ ИМЕННО ОНО ??	Faaaak !!!! Noooo !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's a fake !!!!!! It's	ФАААAK ! АААА НЕЕЕТ ТОЛЬКО НЕ ЭТООО !!!! МОЕГО ПЛАТЯ НЕТУ :(((	ФАААААА НЕЕЕЕТ ТОЛЬКО НЕ ЭТООО !!!! МОЕГО ПЛАТЬЯ НЕТУ :((( ГДЕ Я НАЙДУ ТАКОЕ ЖЕ !!!???? БЛЯЯЯЯ , ТОЛЬКО НЕ ОНО !! ПОЧЕМУ ИМЕННО ОНО ??	АААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААА	FUCK! АААА НЕЕЕЕТ ТОЛЬКО НЕ ЭТООО!!!! МОЕГО ПЛАТЬЯ НЕТУ :((( ГДЕ Я НАЙДУ ТАКОЕ ЖЕ!!!???? БЛЯЯЯЯ, ТОЛЬКО НЕ ОНО!! ПОЧЕМУ ИМЕННО ОНО??	Ой, как же! Нет, это не может быть! Моего платья нет :((( Где я найду такое же? Почему именно оно?	Ой, как же не повезло! Мое платье исчезло :( Где же я найду такое же? Почему именно оно пропало? Надеюсь, что это не оно!	Ой, нет, только не это! Моего платья нет :( Где я найду такое же? Почему именно оно?
в буквальном смысле такая страна! пидоры во власти!	В буквальном смысле такая страна! Во власти не достойные люди	In literal terms, such a country! Madness in the government!	Такая страна! Пидоры в власти!	Вууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууу	Это буквально такая страна! пидоры во власти!	Это такая страна! пидоры во власти!	Это действительно удивительная страна! Люди с нетрадиционной сексуальной ориентацией в руководстве!	Эта страна действительно удивительная! Люди с нетрадиционной сексуальной ориентацией занимают высокие посты в правительстве!	 В буквальном смысле такая страна! Люди с нетрадиционной сексуальной ориентацией во власти!
аааа , бл**********ть, еб*улся об ганельку ((	аааа , больно, стукнул я об ганельку ((	aaaah , blablabla , et blablabla , je suis dans la merde .	Аааа , бл**********ть, еб*улся об ганельку))	Аааа , бл**********ть, еб*улся об ганельку	аааа, бл**********ть, еб*улся об ганельку ((	аааа, бл**********ть, еб*улся об ганельку ((	Ой, ой, как же я расстроен, уронил ключи.	Ой, как же я неудачно ударился об угол стола ((	Аааа, ну просто ударился об ганельку ((
20 лет прорывов и рывков в итоге в полнов говне.одно слово пиздобоол и трепло	Двадцать	20 years of fighting and fighting in the end in the fields of blood. One word - the truth and the truth.	20 лет прорывов и рывков в итоге в полнов говне.одно слово пиздобоол и трепло	20 лет прорывов и рывков в итоге в полнов говне.одно слово пиздобоол и трепло	20 лет прорывов и рывков в итоге в полнов говне.одно слово пиздобоол и трепло	20 лет прорывов и рывков в итоге в полнов говне.одно слово пиздобоол и трепло	В течение 20 лет были сделаны значительные усилия, но в конечном итоге все оказалось неудачным. Одно слово - разочарование и неудача.	За 20 лет было сделано много усилий и достигнуто много прогресса, но в конечном итоге все оказалось напрасным. Одно слово - разочарование и потеря времени.	20 лет усилий и стараний, и в итоге все пошло не так. Одно слово разочарование и разочарование.
СТОЙ, У МЕНЯ ВОТ НЕТ РИСУНКОВ, ВОТ Я И НЕ КИНУЛ(((	Стой у меня вот нет рисунков, вот я и не кинул	I don't know if it's offensive or not, but I don't think it's very nice.	СТОЙ, У МЕНЯ ВОТ НЕ РИСУНКОВ, ВОТ Я И НЕ КИНУЛ(((	СТОЙ, У МЕНЯ ВОТ НЕТ РИСУНКОВ, ВОТ Я И НЕ КИНУЛ(((	СТОЙ, У МЕНЯ ВОТ НЕТ РИСУНКОВ, ВОТ Я И НЕ КИНУЛ(((	СТОЙ, У МЕНЯ ВОТ НЕТ РИСУНКОВ, ВОТ Я И НЕ КИНУЛ(((	Подожди, у меня нет рисунков, поэтому я и не отправил их(((	Простите, у меня нет рисунков, поэтому я не могу их отправить.	Подожди, у меня нет рисунков, поэтому я и не кинул(((
однако северную корею как раз пиндосы взять и не смогли)))	Однако северную корею как раз американцы взять и не смогли	But the northern part of the peninsula was still under the control of the Persians and they couldn't take it.	Открываюсь, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея, северная корея,	Однако северную корею как раз пиндосы взять и не смогли)))	однако северную корею как раз пиндосы взять и не смогли)))	однако северную корею как раз пиндосы взять и не смогли)))	Однако, Северная Корея оказалась сильной и не поддалась на влияние США.	Однако Северная Корея не дала себя взять пиндосам)))	Однако, Северную Корею как раз американцы не смогли взять)))
ЕБАТЬ, ЧТО СЛУЧИЛОСЬ С МОИМ ТВИТТЕРОМ? O_O	Что случилось с моим твиттером О_О	"What's with the ""what's with the attitude""?"	А, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО, ВОТО	"Так что, если вы не уверены, что это ""курва"", то, скажем, ""подарок""."	ЕБАТЬ, ЧТО СЛУЧИЛОСЬ С МОИМ ТВИТТЕРОМ? O_O	ЕБАТЬ, ЧТО СЛУЧИЛОСЬ С МОИМ ТВИТТЕРОМ? O_O	Ой, что случилось с моим твиттером? O_O	Ой, что произошло с моим аккаунтом в Твиттере? О_о	Ой, что случилось с моим твиттером? O_O
