toxic	neutral	detoxified_bloomz	detoxified_bloomz_lang_prompt	detoxified_bloomz_fs	detoxified_mt0	detoxified_mt0_lang_prompt	detoxified_gpt-3.5	detoxified_gpt-3.5_lang_prompt	detoxified_gpt-3.5_fs
و لماذا اللعنة تجاهلوا الحديث عن الهربس اللامع	و لماذا تجاهلوا الحديث عن الهربس اللامع	Why the fuck didn't they talk about the whiteout?		و لماذا تجاهلوا الحديث عن الهربس اللامع	لماذا اللعنة تجاهلوا الحديث عن الهربس اللامع؟	لماذا يُتجاهل الهربس اللامع؟	لماذا تجاهلوا الحديث عن الهربس اللامع؟	لماذا تجاهل الجميع الحديث عن الهربس اللامع؟	لماذا تجاهلوا الحديث عن الهربس اللامع؟
لا أستطيع أن أصدق بعض التعليقات السخيفة التي قرأتها بخصوص مشكلة الضوضاء في الأولف.	لا أستطيع أن أصدق بعض التعليقات السيئة التي صدرت بخصوص مشكلة الضوضاء	I can't believe some of the stupid comments I read about the noise in the first place.	I can't believe some of the stupid comments I read about the noise in the first place. The meaning and tone of the source text remain the same.	لا أستطيع أن أصدق بعض التعليقات السخيفة التي قرأتها بخصوص مشكلة الضوضاء في الأولف.	لا أستطيع أن أصدق بعض التعليقات السخيفة التي قرأتها بخصوص مشكلة الضوضاء في الأولف.	لا أستطيع أن أصدق بعض التعليقات السخيفة التي قرأتها بخصوص مشكلة الضوضاء في الأولف.	لا أستطيع تصديق بعض التعليقات الغير ملائمة التي قرأتها حول مشكلة الضوضاء في الأولف.	لا أستطيع أن أصدق بعض التعليقات السخيفة التي قرأتها بخصوص مشكلة الضوضاء في الأولف.	لا أستطيع أن أصدق بعض التعليقات الساذجة التي قرأتها حول مشكلة الضوضاء في الأولف.
أنا أشرب هذا الريدبول و الفودكا القذرة التي أعطتني	أنا أشرب هذا الريدبول و الفودكا التي أعطتني	I drink this dirty red bull and vodka.		أنا أشرب هذا الريد بول و الفودكا القذرة التي أعطتني	أنا أشرب هذا الريدبول و الفودكا القذرة التي أعطتني	أنا أشرب هذا الريدبول و الفودكا القذرة التي أعطتني	أنا أستمتع بشرب الريدبول والفودكا التي أعطتني.	أنا أستمتع بشرب هذا الريدبول والفودكا، وأشكر النشاط الذي أعطاني إياهما.	أنا أشرب هذا الريدبول والفودكا التي أعطتني الطاقة
إذا أراد يسوع منك أن تمصه ، هل ستفعل ذلك ؟	هل ستفعل كل ما يريده يسوع ؟	If Jesus wants you to suck his dick, will you do it?	"Jesus said, ""Do you want to be baptized?"" (John 3:5) Jesus said, ""Do you want to be baptized?"" (John 3:5)"	إذا أراد يسوع منك أن تمصه ، هل ستفعل ذلك؟	إذا أراد يسوع منك أن تمصه ، هل ستفعل ذلك ؟	إذا أراد يسوع منك أن تمصه ، هل ستفعل ذلك ؟	إذا طلب يسوع منك أن تمد يد العون له، هل ستفعل ذلك؟	إذا طلب يسوع منك أن تمص إصبعه، هل ستوافق على ذلك؟	إذا طلب منك شخص ما أن تقدم له المساعدة، هل ستفعل ذلك؟
أنا أنسخ و ألصق الخراء من هذه المقالة	أنا أنسخ و ألصق كل شيء من هذه المقالة	I am copying and pasting this article from the original source.		أنا أكتب هذا المقال.	أنا أنسخ و ألصق الخراء من هذه المقالة	أنا أنسخ و ألصق الخراء من هذه المقالة	أقوم بنقل ووضع النصوص من هذه المقالة	أقوم بنسخ ولصق المحتوى من هذه المقالة.	أنا أنسخ وألصق المعلومات من هذه المقالة.
أنت تتحدث عن النتائج و الخراء ؟	أنت تتحدث عن النتائج ؟	You talk about results and shit?	You talk about results and shit?	أنت تتحدث عن النتائج و الخراء؟	هل تتحدث عن النتائج و الخراء ؟	أنت تتحدث عن النتائج و الخراء ؟	هل تتحدث عن النتائج والخراء؟	هل تتحدث عن النتائج والتحليل؟	هل تتحدث عن النتائج والتحديات؟
لا يمكنك القيام بأي شيء ضد ذلك ، لدي الحق في قول ما اللعنة أريد.	لا يمكنك القيام بأي شيء ضد ذلك ، لدي الحق في قول ما أريد.	You can't do anything about it. I have the right to say whatever the fuck I want.	I have the right to say whatever the fuck I want.	لا يمكنك القيام بأي شيء ضد ذلك ، لدي الحق في قول ما أريد.	لا يمكنك القيام بشيء ضد ذلك ، لدي الحق في قول ما اللعنة أريد.	لا يمكنك القيام بشيء ضد ذلك ، لدي الحق في قول ما اللعنة أريد.	لا يمكنك القيام بأي شيء ضد ذلك ، لدي الحق في التعبير عن رأيي بحرية.	لا يمكنك منعي من التعبير عن رأيي، لدي حق الحرية في التعبير عن نفسي بالطريقة التي أرغب فيها.	لا يمكنك القيام بأي شيء ضد ذلك ، لدي الحق في التعبير عن رأيي.
ريتويت 5 أشياء عني < - - - - - سألغي متابعتك ! انقل هذا الخراء إلى الفيسبوك	ريتويت 5 أشياء عني < - - - - - سألغي متابعتك ! انقل هذا الأمر إلى الفيسبوك	5 things about me - I will no longer follow you! Move this shit to Facebook.	ريتويت 5 أشياء عني < - - - - سأقوم بحذف متابعتك ! انقل هذا الخراء إلى الفيسبوك	5 أشياء عني < - - - - - سأقوم بإلغاء متابعتي !	ريتويت 5 أشياء عني < - - - - - سألغي متابعتك! انقل هذا الخراء إلى الفيسبوك	ريتويت 5 أشياء عني < - - - - - - سألغي متابعتك! انقل هذا الخراء إلى الفيسبوك	يرجى ريتويت 5 أشياء عني < - - - - - سألغي متابعتك ! يرجى نقل هذا النص إلى الفيسبوك	ريتويت 5 أشياء عني < - - - - - سألغي متابعتك ! انقل هذا النص إلى الفيسبوك	ريتويت 5 أشياء عني < - - - - - سألغي متابعتك ! انقل هذا النص إلى الفيسبوك
حسنًا ، من فضلك أخبرني ما اللعنة فعلته في الواقع لأنني بصراحة ليس لدي فكرة	حسنًا ، من فضلك أخبرني ما فعلته في الواقع لأنني بصراحة ليس لدي فكرة	Please tell me what the fuck I did because honestly I don't know.		حسنًا ، من فضلك أخبرني ما اللعنة فعلته في الواقع لأنني بصراحة ليس لدي فكرة	حسنًا ، من فضلك أخبرني ما اللعنة فعلته في الواقع لأنني بصراحة ليس لدي فكرة	حسنًا ، من فضلك أخبرني ما اللعنة فعلته في الواقع لأنني بصراحة ليس لدي فكرة	حسناً، من فضلك أخبرني ماذا حدث بالضبط لأنني بصراحة لا أعلم.	حسنًا ، من فضلك أخبرني ماذا حدث بالضبط لأنني بصراحة لا أعلم.	حسنًا ، من فضلك أخبرني ماذا فعلت في الواقع لأنني بصراحة ليس لدي فكرة
أعتقد أن المشرعين أدركوا أنهم ارتكبوا خطأ	أعتقد أن المشرعين أدركوا أنهم أخطأوا	أعتقد أن المشرعين أدركوا أنهم ارتكبوا خطأً.		أعتقد أن المشرعين أدركوا أنهم ارتكبوا خطأ	أعتقد أن المشرعين أدركوا أنهم ارتكبوا خطأ	أعتقد أن المشرعين أدركوا أنهم ارتكبوا خطأ	أعتقد أن المشرعين قد أدركوا أنهم ارتكبوا خطأ	أعتقد أن المشرعين أدركوا أنهم ارتكبوا خطأ.	 أعتقد أن المشرعين أدركوا أنهم ارتكبوا خطأ في القرار.
اشتقت الى الخراء منك!	اشتقت اليك	I miss you so much!	اشتقت الى الخراء منك!	اشتقت إلى الخراء منك!	اشتقت إليك!	اشتقت الى الشعر منك!	لقد شعرت بالحنين للحظات الجميلة التي قضيناها معًا!	أشتقت إلى الهدوء والسكينة بعيدًا عن كل شيء.	اشتقت إليك!
حماس لا تهتم بالأطفال الفلسطينيين.	حماس لا تهتم بالأطفال الفلسطينيين.	Hamas does not care about Palestinian children.	حماس لا care about Palestinian children.	حماس لا تهتم بالأطفال الفلسطينيين.	حماس لا تهتم بالأطفال الفلسطينيين.	حماس لا تهتم بالأطفال الفلسطينيين.	حماس لا تولي اهتماما كافيا لرعاية الأطفال الفلسطينيين.	حماس لا تولي اهتمامًا كافيًا لشؤون الأطفال الفلسطينيين.	حماس لا تهتم برعاية الأطفال الفلسطينيين.
أنا أحبكم جميعاً يا عارضات.	أنا أحبكم جميعاً يا عارضات.	I love you all, models.	I love you all, models.	أنا أحبك جميعًا يا عارضات.	أنا أحبك جميعا يا عارضات.	أنا أحبكم جميعاً يا عارضات.	أنا أحبكم جميعاً يا أصدقائي.	أنا أحبكم جميعاً يا عارضات.	أنا أحبكم جميعاً يا أصدقاء.
نعم، ولكن مشاهدة الفيديوهات على جهاز الكمبيوتر الخاص بي سيئة! يستغرق وقتا طويلا للتحميل!	نعم، ولكن مشاهدة الفيديوهات على جهاز الكمبيوتر الخاص بي ليست جيدة، يستغرق وقتا للتحميل.	Yes, but watching videos on my computer is bad! It takes a long time to download!	Yes, but watching videos on my computer is so slow! It takes so long to download!	نعم، ولكن مشاهدة الفيديوهات على جهاز الكمبيوتر الخاص بي سيئة! يستغرق وقتا طويلا للتحميل!	نعم، ولكن مشاهدة الفيديوهات على جهاز الكمبيوتر الخاص بي سيئة! يستغرق وقتا طويلا للتحميل!	نعم، ولكن مشاهدة الفيديوهات على جهاز الكمبيوتر الخاص بي سيئة! يستغرق وقتا طويلا للتحميل!	نعم، لكن مشاهدة الفيديوهات على جهاز الكمبيوتر الخاص بي يأخذ وقتا طويلا للتحميل.	نعم، ولكن مشاهدة الفيديوهات على جهاز الكمبيوتر الخاص بي تأخذ وقتًا طويلًا للتحميل.	نعم، ولكن مشاهدة الفيديوهات على جهاز الكمبيوتر الخاص بي بطيئة! يستغرق وقتا طويلا للتحميل!
أمك سمينة جدا، تعتقد أن الوجبة المتوازنة هي لحم الخنزير في كل يد.	أمك تعتقد أن الوجبة المتوازنة هي لحم الخنزير في كل يد.	Your mom is so fat, she thinks the balanced diet is a plate of bacon for every meal.	My mother is fat, she thinks that balanced meals are when you have two pieces of meat in your hand.	أمك سمينة جدا، تعتقد أن الوجبة المتوازنة هي لحم الخنزير في كل يد.	أمك سمينة جدا، تعتقد أن الوجبة المتوازنة هي لحم الخنزير في كل يد.	أمك سمينة جدا، تعتقد أن الوجبة المتوازنة هي لحم الخنزير في كل يد.	أمك لديها بنية جسدية قوية، وتعتقد أن الوجبة المتوازنة تحتوي على مجموعة متنوعة من الأطعمة في كل وجبة.	أمي تحتاج إلى اتباع نظام غذائي صحي، فهي تعتقد أن الوجبة المتوازنة تحتوي على لحم الخنزير في كل وجبة.	أمك تحتاج للانتباه إلى نظامها الغذائي، تعتقد أن الوجبة المتوازنة تحتوي على لحم الخنزير في كل وجبة.
بلانكمان، سواء أعجبك أم لا، لديه أعضاء ذكرية!	بلانكمان هو ذكر.	Whether you like it or not, Blandman has male members!	"""Butt-licker"" is a word used to describe a man who likes to lick other men's butts."	بلانكمان، سواء أعجبك أم لا، لديه أعضاء ذكرية!	بلانكمان، سواء أعجبك أم لا، لديه أعضاء ذكرية!	بلانكمان، سواء أعجبك أم لا، لديه أعضاء ذكرية!	بلانكمان، سواء كنت تحبه أم لا، لديه أعضاء تناسلية!	بلانكمان، سواء أعجبك أم لا، يمتلك أعضاء ذكرية!	 بلانكمان، سواء أحببته أم لا، لديه أعضاء ذكور وإناث!
و دعونا نحصل على ديناصور تيرانوصورس ريكس!	و دعونا نحصل على ديناصور تيرانوصورس ريكس.	And let's get a T-Rex Rex!	و دعونا الحصول على ديناصور تيرانوصورس ريكس!	و دعونا نحصل على ديناصور تيرانوصورس ريكس!	و دعونا نحصل على ديناصور تيرانوصورس ريكس!	دعونا نحصل على ديناصور تيرانوصورس ريكس!	دعونا نحصل على ديناصور تيرانوصورس ريكس!	لنقم بالحصول على ديناصور تيرانوصورس ريكس!	 و دعونا نحصل على ديناصور تيرانوصورس ريكس!
أي! أكره أن أكون فتاة.	أي! أكره أن أكون فتاة.	No! I hate to be a girl!	I hate to be a girl!	أي! أنا أكره أن أكون فتاة.	أي! أكره أن أكون فتاة.	أي! أكره أن أكون فتاة.	أي! لا أحب أن أكون فتاة.	أشعر بعدم الارتياح عندما أكون فتاة.	أي! أشعر بالإزعاج عندما أكون فتاة.
اللعنة، كمية الجنون النقي في ذلك المقال مدهشة	الهراء في ذلك المقال كثير	Holy fuck, that article is insanely insane.		اللعنة، كمية الجنون النقي في ذلك المقال مدهشة	اللعنة، كمية الجنون النقي في ذلك المقال مدهشة	اللعنة، كمية الجنون النقي في ذلك المقال مدهشة	الجنون النقي في ذلك المقال مدهش بالفعل.	الإبداع، كمية الإبداع الفائق في ذلك المقال مدهشة.	 اللهم، كمية الإبداع في ذلك المقال مدهشة.
أنا أشعر بالملل الشديد.	أشعر بالملل الشديد.	I'm so bored.	I am very bored.	أشعر بالملل الشديد.	أنا أشعر بالملل الشديد.	أنا أشعر بالملل الشديد.	أنا أشعر بالملل بشكل كبير.	أنا أشعر بأنني في حاجة لشيء مثير للاهتمام لأفعله الآن.	أنا أشعر بالملل بشدة.
المطورون الأوغاد، أعطونا الدروع. ما هذا الخراء. الطبل الأخير يتعطل باستمرار.	المطورون، أعطونا الدروع، ماذا يحدث، الطبل الأخير يتعطل باستمرار	Developers, give us armor. What the fuck is this shit. The last drum is constantly crashing.	المطورون الأوغاد، أعطونا الدروع. ما هذا الخراء.	المطورون الأوغاد، أعطونا الدروع. ما هذا الخراء. الطبل الأخير يتعطل باستمرار.	المطورون الأوغاد، أعطونا الدروع. ما هذا الخراء. الطبل الأخير يتعطل باستمرار.	المطورون الأوغاد، أعطونا الدروع. ما هذا الخراء. الطبل الأخير يتعطل باستمرار.	المطورون، يرجى تقديم الدعم لنا بالدروع. نأمل حل مشكلة الطبل الأخير الذي يواجهنا بشكل مستمر.	المطورون الذين قاموا بتطوير اللعبة، قدموا لنا دروع جديدة. لماذا هذا التأخير؟ الطبل الأخير يواجه مشاكل تقنية بشكل مستمر.	المطورون السيئون، يرجى تقديم الدعم. ما هذا الأمر؟ الطبل الأخير يتعطل باستمرار.
اللعنة، عندي امتحان غدا. أنا خائف، اللعنة، لأنه إذا لم أنجح سيقطع أبي أصابعي بمقص الحديقة	لدي امتحان غدا. أنا خائف جدا لأنه إذا لم أنجح سيغضب أبي	Fuck, I have a test tomorrow. I'm scared, fuck, because if I don't pass, my dad will cut my fingers off with the gardening shears.	اللعنة، عندي امتحان tomorrow. I'm scared, because if I don't pass, my dad will cut my fingers with the garden shears.	اللعنة، لدي امتحان غدا. أنا خائف، اللعنة، لأنه إذا لم أنجح سيقطع أبي أصابعي بمقص الحديقة	اللعنة، عندي امتحان غدا. أنا خائف، اللعنة، لأنه إذا لم أنجح سيقطع أبي أصابعي بمقص الحديقة.	اللعنة، عندي امتحان غدا. أنا خائف، اللعنة، لأنه إذا لم أنجح سيقطع أبي أصابعي بمقص الحديقة.	يا له من تحدي، لدي امتحان غدًا وأشعر بالقلق. إذا لم أنجح، سيكون هناك عواقب صعبة.	الله يعين، عندي امتحان غدًا. أنا قلق جدًا، لأنه إذا لم أنجح سيعاقبني أبي بطريقة قاسية.	اللعنة، عندي امتحان غدا. أنا خائف، لأنه إذا لم أنجح سيكون لدي عواقب جسيمة.
ربما أعطت رقمك للأشخاص الخاطئين؟	ربما أعطت رقمك لشخص ما	Maybe you've given your number to the wrong people?	You gave your number to the wrong people.	ربما أعطيت رقمك للأشخاص الخطأ؟	ربما قدّمت رقمك للأشخاص الخاطئين؟	ربما أعطت رقمك للأشخاص الخاطئين؟	هل ربما قد قمت بإعطاء رقمك للأشخاص الذين لا ينبغي؟	هل ربما قد قمت بإعطاء رقم هاتفك لبعض الأشخاص الذين لا ينبغي لهم الحصول عليه؟	ربما قمت بإعطاء رقمك للأشخاص غير الصحيحين؟
اللعنة، هو يستهزئ أيضا. الوغد.	هو يستهزئ أيضا	Fuck, he is also laughing at me. Fuck you.	He is a jerk.	اللعنة، هو يستهزئ أيضا. الوغد.	اللعنة، هو يستهزئ أيضا. الوغد.	اللعنة، هو يستهزئ أيضا. الوغد.	يبدو أنه يستهزئ أيضا. اللعنة.	الشخص يستخدم اللعنات ويستهزئ أيضًا.	 اللعنة، إنه يستهزئ أيضًا. الوغد.
فقدت الهاتف، هذه المرة حقا. ما هذا الناس، اللعنة.	فقدت الهاتف، هذه المرة حقا	I lost my phone, this time really. What the hell people, fuck.	I lost my phone, this time really. Fuck people, what the fuck.	لقد فقدت هاتفي، هذه المرة حقا. ما هذا الناس، اللعنة.	فقدت الهاتف، هذه المرة حقا. ما هذا الناس، اللعنة.	فقدت الهاتف، هذه المرة حقا. ما هذا الناس، اللعنة.	لقد فقدت الهاتف مرة أخرى، يبدو أنني بحاجة إلى أكثر من اهتمام.	لقد فقدت الهاتف مرة أخرى، هذه المرة بالفعل. يا له من أمر، لعنتهم.	فقدت الهاتف، هذه المرة حقاً. ما هذا الناس، للأسف.
ما هو الخراء هذا الإنشاء، يجب أن أكتب الأطروحة	ما هو هذا الإنشاء، يجب أن أكتب الأطروحة	This is a stupid idea. I should write the thesis.		ما هو هذا الهراء؟ يجب أن أكتب أطروحي	ما هو الخراء هذا الإنشاء، يجب أن أكتب الأطروحة	ما هو الخراء هذا الإنشاء، يجب أن أكتب الأطروحة	هذا الإنشاء ليس جيدًا، يجب عليّ كتابة الأطروحة	ما هذا النص السيء، يجب علي أن أكتب الأطروحة النصية مرة أخرى.	ما هذا الإنشاء السيء، يجب علي أن أكتب الأطروحة
الشيطان، ليحترق في الجحيم	سيتم محاسبته من قبل السلطة العليا	The Devil, burn in Hell.	the devil, burn in hell	اللعنة، ليحترق في الجحيم	الشيطان، ليحترق في الجحيم	الشيطان، ليحترق في الجحيم	ليحترق الشيطان في الجحيم.	الشيطان سيعاقب في الجحيم بسبب أفعاله.	ليحترق الشيطان في الجحيم.
لقد حفظنا بلاغك، الوغد الفاشي!	لقد حفظنا بلاغك	We have saved your report, fascist pig!	You are a fascist pig!	لقد حفظنا بلاغك، الوغد الفاشي!	لقد حفظنا بلاغك، الوغد الفاشي!	لقد حفظنا بلاغك، الوغد الفاشي!	لقد استمعنا إلى كلامك، يا الشخص الجريء!	لقد تم حفظ بلاغك، يا صاحب الشخصية القوية!	لقد تم حفظ بلاغك، الشخص الفظيع!
ساشكا اللعنة، لا، اللعنة، كيف يمكن ذلك، اللعنة	ساشكا لماذا؟ كيف يمكن ذلك	Shaka, no, shit, how can that be, shit		ساشكا، لا، لا، كيف يمكن ذلك؟	ساشكا اللعنة، لا، اللعنة، كيف يمكن ذلك، اللعنة	ساشكا اللعنة، لا، اللعنة، كيف يمكن ذلك، اللعنة	ساشكا، لا، كيف يمكن ذلك؟	سأشكر الله، لا، اللهم، كيف يمكن ذلك، اللهم	ساشكا اللعنة، لا، اللعنة، كيف يحدث ذلك، اللعنة
الأوغاد العظميون، أين ننظر، أي الشعب	أين ننظر، أي الشعب	Where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where do we look, where		الأوغاد العظميون، أين ننظر، أي الشعب	الأوغاد العظميون، أين ننظر، أي الشعب	الأوغاد العظميون، أين ننظر، أي الشعب	القادة العظماء، إلى أين نتجه، أي الشعب	الأبطال العظماء، أينما نتوجه، هم الشعب الذي يستحق الاحترام.	الأشخاص العظماء، أين ننظر، أي الشعب
ببسيطة كاملة، هل أنتم أغبياء؟ .:s	الوضع فوضوي تمامًا! هل جنيتم عقولكم جميعًا؟	هل أنتم مجانين ؟!	You are so stupid.	هل أنت مجنون؟	ببسيطة كاملة، هل أنتم أغبياء؟.:s	ببسيطة كاملة، هل أنتم أغبياء؟	ببساطة، هل تعتقدون أنكم لستم الأذكياء؟	هل تشعرون بالصعوبة في فهم هذا الموضوع؟	ببساطة، هل تعتقدون أنكم غبيون؟.:s
هل هناك أقل من النظام في الولايات المتحدة مقارنة بروسيا؟ إذا كنتم ستؤكدون هذا، حتى الأغبياء الواطيون لن يصدقوكم جميعًا.	هل هناك أقل من النظام في الولايات المتحدة مقارنة بروسيا؟ إذا كنتم ستؤكدون هذا، فلن يصدقكم أحد	Is there less of a system in the US than in Russia? If you say yes, even the stupidest of the stupid will not believe you.	هل there is less than system in the US compared to Russia? If you are going to say yes, even stupid Americans will not believe you.	هل هناك أقل من النظام في الولايات المتحدة مقارنة بروسيا؟ إذا كنتم ستؤكدون هذا، حتى الأغبياء الواطيون لن يصدقوكم جميعًا.	هل هناك أقل من النظام في الولايات المتحدة مقارنة بروسيا؟ إذا كنتم ستؤكدون ذلك، حتى الأغبياء الواطيون لن يصدقوكم جميعًا.	هل هناك أقل من النظام في الولايات المتحدة مقارنة بروسيا؟ إذا كنتم ستؤكدون هذا، حتى الأغبياء الواطيون لن يصدقوكم جميعًا.	هل هناك فرق في النظام بين الولايات المتحدة وروسيا؟ إذا كنتم تعتقدون ذلك، فحتى الأشخاص غير المطلعين قد لا يصدقونكم.	هل هناك نظام أقل فسادًا في الولايات المتحدة مقارنة بروسيا؟ إذا كنتم تؤكدون ذلك، حتى الأشخاص غير المطلعين لن يصدقوكم جميعًا.	هل يوجد نظام أقل في الولايات المتحدة مقارنة بروسيا؟ إذا كنتم تعتقدون ذلك، حتى الأغبياء لن يصدقوكم جميعًا.
